# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# popcnt
66 0FB8 CE, INVALID, INVALID, 0, code=INVALID
62 F14EEB 58 50 01, INVALID, INVALID, 0, code=EVEX_Vaddss_xmm_k1z_xmm_xmmm32_er
62 F14E0B 58 D3, EVEX_Vaddss_xmm_k1z_xmm_xmmm32_er, Vaddss, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3 k3
62 F14EDB 58 D3, EVEX_Vaddss_xmm_k1z_xmm_xmmm32_er, Vaddss, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3 k3 zmsk rc-ru
62 D14E0B 58 50 01, EVEX_Vaddss_xmm_k1z_xmm_xmmm32_er, Vaddss, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;4;1;Float32 k3 co=0;0;0;0;6;1 enc=62F14E0B585001
62 E14E0B 58 50 01, EVEX_Vaddss_xmm_k1z_xmm_xmmm32_er, Vaddss, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;4;1;Float32 k3 co=0;0;0;0;6;1 enc=62F14E0B585001

F2 0F58 08, Addsd_xmm_xmmm64, Addsd, 2, op0=r;xmm1 op1=m;ds;bx;si;1;0;0;Float64
F2 0F58 CD, Addsd_xmm_xmmm64, Addsd, 2, op0=r;xmm1 op1=r;xmm5

C5CB 58 10, VEX_Vaddsd_xmm_xmm_xmmm64, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float64
C4E14B 58 10, VEX_Vaddsd_xmm_xmm_xmmm64, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float64 enc=C5CB5810
C5CF 58 10, VEX_Vaddsd_xmm_xmm_xmmm64, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float64 enc=C5CB5810
C4E1CF 58 10, VEX_Vaddsd_xmm_xmm_xmmm64, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float64 enc=C5CB5810
C5CB 58 D3, VEX_Vaddsd_xmm_xmm_xmmm64, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3
C4C14B 58 10, VEX_Vaddsd_xmm_xmm_xmmm64, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float64 enc=C5CB5810

62 F1CF0B 58 50 01, EVEX_Vaddsd_xmm_k1z_xmm_xmmm64_er, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Float64 k3 co=0;0;0;0;6;1
62 F1CF08 58 50 01, EVEX_Vaddsd_xmm_k1z_xmm_xmmm64_er, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Float64 co=0;0;0;0;6;1
62 F1CFAB 58 50 01, EVEX_Vaddsd_xmm_k1z_xmm_xmmm64_er, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Float64 k3 zmsk co=0;0;0;0;6;1 enc=62F1CF8B585001
62 F1CFCB 58 50 01, EVEX_Vaddsd_xmm_k1z_xmm_xmmm64_er, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Float64 k3 zmsk co=0;0;0;0;6;1 enc=62F1CF8B585001
62 F1CFEB 58 50 01, EVEX_Vaddsd_xmm_k1z_xmm_xmmm64_er, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Float64 k3 zmsk co=0;0;0;0;6;1 enc=62F1CF8B585001 decopt=NoInvalidCheck
62 F1CFEB 58 50 01, INVALID, INVALID, 0, code=EVEX_Vaddsd_xmm_k1z_xmm_xmmm64_er
62 F1CF8B 58 D3, EVEX_Vaddsd_xmm_k1z_xmm_xmmm64_er, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3 k3 zmsk
62 F1CF7B 58 D3, EVEX_Vaddsd_xmm_k1z_xmm_xmmm64_er, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3 k3 rc-rz
62 D1CF0B 58 50 01, EVEX_Vaddsd_xmm_k1z_xmm_xmmm64_er, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Float64 k3 co=0;0;0;0;6;1 enc=62F1CF0B585001
62 E1CF0B 58 50 01, EVEX_Vaddsd_xmm_k1z_xmm_xmmm64_er, Vaddsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Float64 k3 co=0;0;0;0;6;1 enc=62F1CF0B585001

0F59 08, Mulps_xmm_xmmm128, Mulps, 2, op0=r;xmm1 op1=m;ds;bx;si;1;0;0;Packed128_Float32
0F59 CD, Mulps_xmm_xmmm128, Mulps, 2, op0=r;xmm1 op1=r;xmm5

C5C8 59 10, VEX_Vmulps_xmm_xmm_xmmm128, Vmulps, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Packed128_Float32
C4E148 59 10, VEX_Vmulps_xmm_xmm_xmmm128, Vmulps, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Packed128_Float32 enc=C5C85910
C4E1C8 59 10, VEX_Vmulps_xmm_xmm_xmmm128, Vmulps, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Packed128_Float32 enc=C5C85910
C5C8 59 D3, VEX_Vmulps_xmm_xmm_xmmm128, Vmulps, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3
C4C148 59 10, VEX_Vmulps_xmm_xmm_xmmm128, Vmulps, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Packed128_Float32 enc=C5C85910

C5CC 59 10, VEX_Vmulps_ymm_ymm_ymmm256, Vmulps, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;0;0;Packed256_Float32
C4E14C 59 10, VEX_Vmulps_ymm_ymm_ymmm256, Vmulps, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;0;0;Packed256_Float32 enc=C5CC5910
C4E1CC 59 10, VEX_Vmulps_ymm_ymm_ymmm256, Vmulps, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;0;0;Packed256_Float32 enc=C5CC5910
C5CC 59 D3, VEX_Vmulps_ymm_ymm_ymmm256, Vmulps, 3, op0=r;ymm2 op1=r;ymm6 op2=r;ymm3
C4C14C 59 10, VEX_Vmulps_ymm_ymm_ymmm256, Vmulps, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;0;0;Packed256_Float32 enc=C5CC5910

62 F14C0B 59 50 01, EVEX_Vmulps_xmm_k1z_xmm_xmmm128b32, Vmulps, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;16;1;Packed128_Float32 k3 co=0;0;0;0;6;1
62 F14C9D 59 50 01, EVEX_Vmulps_xmm_k1z_xmm_xmmm128b32, Vmulps, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;4;1;Broadcast128_Float32 bcst k5 zmsk co=0;0;0;0;6;1
62 F14C08 59 50 01, EVEX_Vmulps_xmm_k1z_xmm_xmmm128b32, Vmulps, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;16;1;Packed128_Float32 co=0;0;0;0;6;1
62 F14C0B 59 D3, EVEX_Vmulps_xmm_k1z_xmm_xmmm128b32, Vmulps, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3 k3
62 D14C0B 59 50 01, EVEX_Vmulps_xmm_k1z_xmm_xmmm128b32, Vmulps, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;16;1;Packed128_Float32 k3 co=0;0;0;0;6;1 enc=62F14C0B595001
62 E14C0B 59 50 01, EVEX_Vmulps_xmm_k1z_xmm_xmmm128b32, Vmulps, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;16;1;Packed128_Float32 k3 co=0;0;0;0;6;1 enc=62F14C0B595001

62 F14C2B 59 50 01, EVEX_Vmulps_ymm_k1z_ymm_ymmm256b32, Vmulps, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;32;1;Packed256_Float32 k3 co=0;0;0;0;6;1
62 F14CBD 59 50 01, EVEX_Vmulps_ymm_k1z_ymm_ymmm256b32, Vmulps, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;4;1;Broadcast256_Float32 bcst k5 zmsk co=0;0;0;0;6;1
62 F14C28 59 50 01, EVEX_Vmulps_ymm_k1z_ymm_ymmm256b32, Vmulps, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;32;1;Packed256_Float32 co=0;0;0;0;6;1
62 F14C2B 59 D3, EVEX_Vmulps_ymm_k1z_ymm_ymmm256b32, Vmulps, 3, op0=r;ymm2 op1=r;ymm6 op2=r;ymm3 k3
62 D14C2B 59 50 01, EVEX_Vmulps_ymm_k1z_ymm_ymmm256b32, Vmulps, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;32;1;Packed256_Float32 k3 co=0;0;0;0;6;1 enc=62F14C2B595001
62 E14C2B 59 50 01, EVEX_Vmulps_ymm_k1z_ymm_ymmm256b32, Vmulps, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;32;1;Packed256_Float32 k3 co=0;0;0;0;6;1 enc=62F14C2B595001

62 F14C4B 59 50 01, EVEX_Vmulps_zmm_k1z_zmm_zmmm512b32_er, Vmulps, 3, op0=r;zmm2 op1=r;zmm6 op2=m;ds;bx;si;1;64;1;Packed512_Float32 k3 co=0;0;0;0;6;1
62 F14CDD 59 50 01, EVEX_Vmulps_zmm_k1z_zmm_zmmm512b32_er, Vmulps, 3, op0=r;zmm2 op1=r;zmm6 op2=m;ds;bx;si;1;4;1;Broadcast512_Float32 bcst k5 zmsk co=0;0;0;0;6;1
62 F14C48 59 50 01, EVEX_Vmulps_zmm_k1z_zmm_zmmm512b32_er, Vmulps, 3, op0=r;zmm2 op1=r;zmm6 op2=m;ds;bx;si;1;64;1;Packed512_Float32 co=0;0;0;0;6;1
62 F14CDB 59 D3, EVEX_Vmulps_zmm_k1z_zmm_zmmm512b32_er, Vmulps, 3, op0=r;zmm2 op1=r;zmm6 op2=r;zmm3 k3 zmsk rc-ru
62 F14C1B 59 D3, EVEX_Vmulps_zmm_k1z_zmm_zmmm512b32_er, Vmulps, 3, op0=r;zmm2 op1=r;zmm6 op2=r;zmm3 k3 rc-rn
62 F14C4B 59 D3, EVEX_Vmulps_zmm_k1z_zmm_zmmm512b32_er, Vmulps, 3, op0=r;zmm2 op1=r;zmm6 op2=r;zmm3 k3
62 F14C3B 59 D3, EVEX_Vmulps_zmm_k1z_zmm_zmmm512b32_er, Vmulps, 3, op0=r;zmm2 op1=r;zmm6 op2=r;zmm3 k3 rc-rd
62 D14C4B 59 50 01, EVEX_Vmulps_zmm_k1z_zmm_zmmm512b32_er, Vmulps, 3, op0=r;zmm2 op1=r;zmm6 op2=m;ds;bx;si;1;64;1;Packed512_Float32 k3 co=0;0;0;0;6;1 enc=62F14C4B595001
62 E14C4B 59 50 01, EVEX_Vmulps_zmm_k1z_zmm_zmmm512b32_er, Vmulps, 3, op0=r;zmm2 op1=r;zmm6 op2=m;ds;bx;si;1;64;1;Packed512_Float32 k3 co=0;0;0;0;6;1 enc=62F14C4B595001

66 0F59 08, Mulpd_xmm_xmmm128, Mulpd, 2, op0=r;xmm1 op1=m;ds;bx;si;1;0;0;Packed128_Float64
66 0F59 CD, Mulpd_xmm_xmmm128, Mulpd, 2, op0=r;xmm1 op1=r;xmm5

C5C9 59 10, VEX_Vmulpd_xmm_xmm_xmmm128, Vmulpd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Packed128_Float64
C4E149 59 10, VEX_Vmulpd_xmm_xmm_xmmm128, Vmulpd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Packed128_Float64 enc=C5C95910
C4E1C9 59 10, VEX_Vmulpd_xmm_xmm_xmmm128, Vmulpd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Packed128_Float64 enc=C5C95910
C5C9 59 D3, VEX_Vmulpd_xmm_xmm_xmmm128, Vmulpd, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3
C4C149 59 10, VEX_Vmulpd_xmm_xmm_xmmm128, Vmulpd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Packed128_Float64 enc=C5C95910

C5CD 59 10, VEX_Vmulpd_ymm_ymm_ymmm256, Vmulpd, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;0;0;Packed256_Float64
C4E14D 59 10, VEX_Vmulpd_ymm_ymm_ymmm256, Vmulpd, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;0;0;Packed256_Float64 enc=C5CD5910
C4E1CD 59 10, VEX_Vmulpd_ymm_ymm_ymmm256, Vmulpd, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;0;0;Packed256_Float64 enc=C5CD5910
C5CD 59 D3, VEX_Vmulpd_ymm_ymm_ymmm256, Vmulpd, 3, op0=r;ymm2 op1=r;ymm6 op2=r;ymm3
C4C14D 59 10, VEX_Vmulpd_ymm_ymm_ymmm256, Vmulpd, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;0;0;Packed256_Float64 enc=C5CD5910

62 F1CD0B 59 50 01, EVEX_Vmulpd_xmm_k1z_xmm_xmmm128b64, Vmulpd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;16;1;Packed128_Float64 k3 co=0;0;0;0;6;1
62 F1CD9D 59 50 01, EVEX_Vmulpd_xmm_k1z_xmm_xmmm128b64, Vmulpd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Broadcast128_Float64 bcst k5 zmsk co=0;0;0;0;6;1
62 F1CD08 59 50 01, EVEX_Vmulpd_xmm_k1z_xmm_xmmm128b64, Vmulpd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;16;1;Packed128_Float64 co=0;0;0;0;6;1
62 F1CD8B 59 D3, EVEX_Vmulpd_xmm_k1z_xmm_xmmm128b64, Vmulpd, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3 k3 zmsk
62 D1CD0B 59 50 01, EVEX_Vmulpd_xmm_k1z_xmm_xmmm128b64, Vmulpd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;16;1;Packed128_Float64 k3 co=0;0;0;0;6;1 enc=62F1CD0B595001
62 E1CD0B 59 50 01, EVEX_Vmulpd_xmm_k1z_xmm_xmmm128b64, Vmulpd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;16;1;Packed128_Float64 k3 co=0;0;0;0;6;1 enc=62F1CD0B595001

62 F1CD2B 59 50 01, EVEX_Vmulpd_ymm_k1z_ymm_ymmm256b64, Vmulpd, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;32;1;Packed256_Float64 k3 co=0;0;0;0;6;1
62 F1CDBD 59 50 01, EVEX_Vmulpd_ymm_k1z_ymm_ymmm256b64, Vmulpd, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;8;1;Broadcast256_Float64 bcst k5 zmsk co=0;0;0;0;6;1
62 F1CD28 59 50 01, EVEX_Vmulpd_ymm_k1z_ymm_ymmm256b64, Vmulpd, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;32;1;Packed256_Float64 co=0;0;0;0;6;1
62 F1CDAB 59 D3, EVEX_Vmulpd_ymm_k1z_ymm_ymmm256b64, Vmulpd, 3, op0=r;ymm2 op1=r;ymm6 op2=r;ymm3 k3 zmsk
62 D1CD2B 59 50 01, EVEX_Vmulpd_ymm_k1z_ymm_ymmm256b64, Vmulpd, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;32;1;Packed256_Float64 k3 co=0;0;0;0;6;1 enc=62F1CD2B595001
62 E1CD2B 59 50 01, EVEX_Vmulpd_ymm_k1z_ymm_ymmm256b64, Vmulpd, 3, op0=r;ymm2 op1=r;ymm6 op2=m;ds;bx;si;1;32;1;Packed256_Float64 k3 co=0;0;0;0;6;1 enc=62F1CD2B595001

62 F1CD4B 59 50 01, EVEX_Vmulpd_zmm_k1z_zmm_zmmm512b64_er, Vmulpd, 3, op0=r;zmm2 op1=r;zmm6 op2=m;ds;bx;si;1;64;1;Packed512_Float64 k3 co=0;0;0;0;6;1
62 F1CDDD 59 50 01, EVEX_Vmulpd_zmm_k1z_zmm_zmmm512b64_er, Vmulpd, 3, op0=r;zmm2 op1=r;zmm6 op2=m;ds;bx;si;1;8;1;Broadcast512_Float64 bcst k5 zmsk co=0;0;0;0;6;1
62 F1CD48 59 50 01, EVEX_Vmulpd_zmm_k1z_zmm_zmmm512b64_er, Vmulpd, 3, op0=r;zmm2 op1=r;zmm6 op2=m;ds;bx;si;1;64;1;Packed512_Float64 co=0;0;0;0;6;1
62 F1CDDB 59 D3, EVEX_Vmulpd_zmm_k1z_zmm_zmmm512b64_er, Vmulpd, 3, op0=r;zmm2 op1=r;zmm6 op2=r;zmm3 k3 zmsk rc-ru
62 F1CD1B 59 D3, EVEX_Vmulpd_zmm_k1z_zmm_zmmm512b64_er, Vmulpd, 3, op0=r;zmm2 op1=r;zmm6 op2=r;zmm3 k3 rc-rn
62 F1CDCB 59 D3, EVEX_Vmulpd_zmm_k1z_zmm_zmmm512b64_er, Vmulpd, 3, op0=r;zmm2 op1=r;zmm6 op2=r;zmm3 k3 zmsk
62 F1CD7B 59 D3, EVEX_Vmulpd_zmm_k1z_zmm_zmmm512b64_er, Vmulpd, 3, op0=r;zmm2 op1=r;zmm6 op2=r;zmm3 k3 rc-rz
62 D1CD4B 59 50 01, EVEX_Vmulpd_zmm_k1z_zmm_zmmm512b64_er, Vmulpd, 3, op0=r;zmm2 op1=r;zmm6 op2=m;ds;bx;si;1;64;1;Packed512_Float64 k3 co=0;0;0;0;6;1 enc=62F1CD4B595001
62 E1CD4B 59 50 01, EVEX_Vmulpd_zmm_k1z_zmm_zmmm512b64_er, Vmulpd, 3, op0=r;zmm2 op1=r;zmm6 op2=m;ds;bx;si;1;64;1;Packed512_Float64 k3 co=0;0;0;0;6;1 enc=62F1CD4B595001

F3 0F59 08, Mulss_xmm_xmmm32, Mulss, 2, op0=r;xmm1 op1=m;ds;bx;si;1;0;0;Float32
F3 0F59 CD, Mulss_xmm_xmmm32, Mulss, 2, op0=r;xmm1 op1=r;xmm5

C5CA 59 10, VEX_Vmulss_xmm_xmm_xmmm32, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float32
C4E14A 59 10, VEX_Vmulss_xmm_xmm_xmmm32, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float32 enc=C5CA5910
C5CE 59 10, VEX_Vmulss_xmm_xmm_xmmm32, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float32 enc=C5CA5910
C4E1CE 59 10, VEX_Vmulss_xmm_xmm_xmmm32, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float32 enc=C5CA5910
C5CA 59 D3, VEX_Vmulss_xmm_xmm_xmmm32, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3
C4C14A 59 10, VEX_Vmulss_xmm_xmm_xmmm32, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float32 enc=C5CA5910

62 F14E0B 59 50 01, EVEX_Vmulss_xmm_k1z_xmm_xmmm32_er, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;4;1;Float32 k3 co=0;0;0;0;6;1
62 F14E08 59 50 01, EVEX_Vmulss_xmm_k1z_xmm_xmmm32_er, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;4;1;Float32 co=0;0;0;0;6;1
62 F14EAB 59 50 01, EVEX_Vmulss_xmm_k1z_xmm_xmmm32_er, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;4;1;Float32 k3 zmsk co=0;0;0;0;6;1 enc=62F14E8B595001
62 F14ECB 59 50 01, EVEX_Vmulss_xmm_k1z_xmm_xmmm32_er, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;4;1;Float32 k3 zmsk co=0;0;0;0;6;1 enc=62F14E8B595001
62 F14EEB 59 50 01, EVEX_Vmulss_xmm_k1z_xmm_xmmm32_er, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;4;1;Float32 k3 zmsk co=0;0;0;0;6;1 enc=62F14E8B595001 decopt=NoInvalidCheck
62 F14EEB 59 50 01, INVALID, INVALID, 0, code=EVEX_Vmulss_xmm_k1z_xmm_xmmm32_er
62 F14E0B 59 D3, EVEX_Vmulss_xmm_k1z_xmm_xmmm32_er, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3 k3
62 F14EDB 59 D3, EVEX_Vmulss_xmm_k1z_xmm_xmmm32_er, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3 k3 zmsk rc-ru
62 D14E0B 59 50 01, EVEX_Vmulss_xmm_k1z_xmm_xmmm32_er, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;4;1;Float32 k3 co=0;0;0;0;6;1 enc=62F14E0B595001
62 E14E0B 59 50 01, EVEX_Vmulss_xmm_k1z_xmm_xmmm32_er, Vmulss, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;4;1;Float32 k3 co=0;0;0;0;6;1 enc=62F14E0B595001

F2 0F59 08, Mulsd_xmm_xmmm64, Mulsd, 2, op0=r;xmm1 op1=m;ds;bx;si;1;0;0;Float64
F2 0F59 CD, Mulsd_xmm_xmmm64, Mulsd, 2, op0=r;xmm1 op1=r;xmm5

C5CB 59 10, VEX_Vmulsd_xmm_xmm_xmmm64, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float64
C4E14B 59 10, VEX_Vmulsd_xmm_xmm_xmmm64, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float64 enc=C5CB5910
C5CF 59 10, VEX_Vmulsd_xmm_xmm_xmmm64, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float64 enc=C5CB5910
C4E1CF 59 10, VEX_Vmulsd_xmm_xmm_xmmm64, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float64 enc=C5CB5910
C5CB 59 D3, VEX_Vmulsd_xmm_xmm_xmmm64, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3
C4C14B 59 10, VEX_Vmulsd_xmm_xmm_xmmm64, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;0;0;Float64 enc=C5CB5910

62 F1CF0B 59 50 01, EVEX_Vmulsd_xmm_k1z_xmm_xmmm64_er, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Float64 k3 co=0;0;0;0;6;1
62 F1CF08 59 50 01, EVEX_Vmulsd_xmm_k1z_xmm_xmmm64_er, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Float64 co=0;0;0;0;6;1
62 F1CFAB 59 50 01, EVEX_Vmulsd_xmm_k1z_xmm_xmmm64_er, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Float64 k3 zmsk co=0;0;0;0;6;1 enc=62F1CF8B595001
62 F1CFCB 59 50 01, EVEX_Vmulsd_xmm_k1z_xmm_xmmm64_er, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Float64 k3 zmsk co=0;0;0;0;6;1 enc=62F1CF8B595001
62 F1CFEB 59 50 01, EVEX_Vmulsd_xmm_k1z_xmm_xmmm64_er, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Float64 k3 zmsk co=0;0;0;0;6;1 enc=62F1CF8B595001 decopt=NoInvalidCheck
62 F1CFEB 59 50 01, INVALID, INVALID, 0, code=EVEX_Vmulsd_xmm_k1z_xmm_xmmm64_er
62 F1CF8B 59 D3, EVEX_Vmulsd_xmm_k1z_xmm_xmmm64_er, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3 k3 zmsk
62 F1CF7B 59 D3, EVEX_Vmulsd_xmm_k1z_xmm_xmmm64_er, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=r;xmm3 k3 rc-rz
62 D1CF0B 59 50 01, EVEX_Vmulsd_xmm_k1z_xmm_xmmm64_er, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Float64 k3 co=0;0;0;0;6;1 enc=62F1CF0B595001
62 E1CF0B 59 50 01, EVEX_Vmulsd_xmm_k1z_xmm_xmmm64_er, Vmulsd, 3, op0=r;xmm2 op1=r;xmm6 op2=m;ds;bx;si;1;8;1;Float64 k3 co=0;0;0;0;6;1 enc=62F1CF0B595001

0F5A 08, Cvtps2pd_xmm_xmmm64, Cvtps2pd, 2, op0=r;xmm1 op1=m;ds;bx;si;1;0;0;Packed64_Float32
0F5A CD, Cvtps2pd_xmm_xmmm64, Cvtps2pd, 2, op0=r;xmm1 op1=r;xmm5

C5F8 5A 10, VEX_Vcvtps2pd_xmm_xmmm64, Vcvtps2pd, 2, op0=r;xmm2 op1=m;ds;bx;si;1;0;0;Packed64_Float32
C4E178 5A 10, VEX_Vcvtps2pd_xmm_xmmm64, Vcvtps2pd, 2, op0=r;xmm2 op1=m;ds;bx;si;1;0;0;Packed64_Float32 enc=C5F85A10
C4E1F8 5A 10, VEX_Vcvtps2pd_xmm_xmmm64, Vcvtps2pd, 2, op0=r;xmm2 op1=m;ds;bx;si;1;0;0;Packed64_Float32 enc=C5F85A10
C5F8 5A CD, VEX_Vcvtps2pd_xmm_xmmm64, Vcvtps2pd, 2, op0=r;xmm1 op1=r;xmm5
C4C178 5A 10, VEX_Vcvtps2pd_xmm_xmmm64, Vcvtps2pd, 2, op0=r;xmm2 op1=m;ds;bx;si;1;0;0;Packed64_Float32 enc=C5F85A10

C5FC 5A 10, VEX_Vcvtps2pd_ymm_xmmm128, Vcvtps2pd, 2, op0=r;ymm2 op1=m;ds;bx;si;1;0;0;Packed128_Float32
C4E17C 5A 10, VEX_Vcvtps2pd_ymm_xmmm128, Vcvtps2pd, 2, op0=r;ymm2 op1=m;ds;bx;si;1;0;0;Packed128_Float32 enc=C5FC5A10
C4E1FC 5A 10, VEX_Vcvtps2pd_ymm_xmmm128, Vcvtps2pd, 2, op0=r;ymm2 op1=m;ds;bx;si;1;0;0;Packed128_Float32 enc=C5FC5A10
