# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# ⚠️This file was generated by GENERATOR!🦹‍♂️

INVALID, INVALID, Unknown, Unknown, legacy, , legacy, 00, <invalid>, <invalid>, no-instr 16 32 64 cpl0 cpl1 cpl2 cpl3 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
EVEX_Vcomiss_xmm_xmmm32_sae, Vcomiss, Float32, Unknown, EVEX, NP, 0F, 2F, EVEX.LIG.0F.W0 2F /r, VCOMISS xmm1| xmm2/m32{sae}, 16 32 64 cpl0 cpl1 cpl2 cpl3 LIG W0 op=xmm_reg;xmm_or_mem tt=N4 sae intel16 intel32 intel64 amd16 amd32 amd64 pm cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
EVEX_Vcomisd_xmm_xmmm64_sae, Vcomisd, Float64, Unknown, EVEX, 66, 0F, 2F, EVEX.LIG.66.0F.W1 2F /r, VCOMISD xmm1| xmm2/m64{sae}, 16 32 64 cpl0 cpl1 cpl2 cpl3 LIG W1 op=xmm_reg;xmm_or_mem tt=N8 sae intel16 intel32 intel64 amd16 amd32 amd64 pm cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Wrmsr, Wrmsr, Unknown, Unknown, legacy, , 0F, 30, 0F 30, WRMSR, 16 32 64 cpl0 intel16 intel32 intel64 amd16 amd32 amd64 rm pm cm lm outside-smm in-smm outside-sgx outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam intel-may-vm-exit amd-may-vm-exit tsx-impl-abort intel-serialize amd-serialize priv
Rdtsc, Rdtsc, Unknown, Unknown, legacy, , 0F, 31, 0F 31, RDTSC, 16 32 64 cpl0 cpl1 cpl2 cpl3 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam intel-may-vm-exit amd-may-vm-exit tsx-impl-abort may-require-cpl0
Rdmsr, Rdmsr, Unknown, Unknown, legacy, , 0F, 32, 0F 32, RDMSR, 16 32 64 cpl0 intel16 intel32 intel64 amd16 amd32 amd64 rm pm cm lm outside-smm in-smm outside-sgx outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam intel-may-vm-exit amd-may-vm-exit tsx-impl-abort priv
Rdpmc, Rdpmc, Unknown, Unknown, legacy, , 0F, 33, 0F 33, RDPMC, 16 32 64 cpl0 cpl1 cpl2 cpl3 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam intel-may-vm-exit amd-may-vm-exit tsx-impl-abort may-require-cpl0
Sysenter, Sysenter, Unknown, Unknown, legacy, , 0F, 34, 0F 34, SYSENTER, 16 32 64 cpl0 cpl1 cpl2 cpl3 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam tsx-impl-abort
Sysexitd, Sysexit, Unknown, Unknown, legacy, , 0F, 35, 0F 35, SYSEXIT, 16 32 64 cpl0 intel16 intel32 intel64 amd16 amd32 amd64 rm pm cm lm outside-smm in-smm outside-sgx outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam tsx-impl-abort priv
Sysexitq, Sysexitq, Unknown, Unknown, legacy, , 0F, 35, o64 0F 35, SYSEXITQ, 64 cpl0 o64 intel64 amd64 lm outside-smm in-smm outside-sgx outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam tsx-impl-abort priv
Getsecd, Getsec, Unknown, Unknown, legacy, NP, 0F, 37, NP 0F 37, GETSEC, 16 32 64 cpl0 cpl1 cpl2 cpl3 save-restore intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam intel-vm-exit tsx-impl-abort may-require-cpl0
Cmovo_r16_rm16, Cmovo, UInt16, Unknown, legacy, , 0F, 40, o16 0F 40 /r, CMOVO r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovo_r32_rm32, Cmovo, UInt32, Unknown, legacy, , 0F, 40, o32 0F 40 /r, CMOVO r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovo_r64_rm64, Cmovo, UInt64, Unknown, legacy, , 0F, 40, o64 0F 40 /r, CMOVO r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovno_r16_rm16, Cmovno, UInt16, Unknown, legacy, , 0F, 41, o16 0F 41 /r, CMOVNO r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovno_r32_rm32, Cmovno, UInt32, Unknown, legacy, , 0F, 41, o32 0F 41 /r, CMOVNO r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovno_r64_rm64, Cmovno, UInt64, Unknown, legacy, , 0F, 41, o64 0F 41 /r, CMOVNO r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovb_r16_rm16, Cmovb, UInt16, Unknown, legacy, , 0F, 42, o16 0F 42 /r, CMOVB r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovb_r32_rm32, Cmovb, UInt32, Unknown, legacy, , 0F, 42, o32 0F 42 /r, CMOVB r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovb_r64_rm64, Cmovb, UInt64, Unknown, legacy, , 0F, 42, o64 0F 42 /r, CMOVB r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovae_r16_rm16, Cmovae, UInt16, Unknown, legacy, , 0F, 43, o16 0F 43 /r, CMOVAE r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovae_r32_rm32, Cmovae, UInt32, Unknown, legacy, , 0F, 43, o32 0F 43 /r, CMOVAE r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovae_r64_rm64, Cmovae, UInt64, Unknown, legacy, , 0F, 43, o64 0F 43 /r, CMOVAE r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmove_r16_rm16, Cmove, UInt16, Unknown, legacy, , 0F, 44, o16 0F 44 /r, CMOVE r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmove_r32_rm32, Cmove, UInt32, Unknown, legacy, , 0F, 44, o32 0F 44 /r, CMOVE r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmove_r64_rm64, Cmove, UInt64, Unknown, legacy, , 0F, 44, o64 0F 44 /r, CMOVE r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovne_r16_rm16, Cmovne, UInt16, Unknown, legacy, , 0F, 45, o16 0F 45 /r, CMOVNE r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovne_r32_rm32, Cmovne, UInt32, Unknown, legacy, , 0F, 45, o32 0F 45 /r, CMOVNE r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovne_r64_rm64, Cmovne, UInt64, Unknown, legacy, , 0F, 45, o64 0F 45 /r, CMOVNE r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovbe_r16_rm16, Cmovbe, UInt16, Unknown, legacy, , 0F, 46, o16 0F 46 /r, CMOVBE r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovbe_r32_rm32, Cmovbe, UInt32, Unknown, legacy, , 0F, 46, o32 0F 46 /r, CMOVBE r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovbe_r64_rm64, Cmovbe, UInt64, Unknown, legacy, , 0F, 46, o64 0F 46 /r, CMOVBE r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmova_r16_rm16, Cmova, UInt16, Unknown, legacy, , 0F, 47, o16 0F 47 /r, CMOVA r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmova_r32_rm32, Cmova, UInt32, Unknown, legacy, , 0F, 47, o32 0F 47 /r, CMOVA r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmova_r64_rm64, Cmova, UInt64, Unknown, legacy, , 0F, 47, o64 0F 47 /r, CMOVA r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovs_r16_rm16, Cmovs, UInt16, Unknown, legacy, , 0F, 48, o16 0F 48 /r, CMOVS r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovs_r32_rm32, Cmovs, UInt32, Unknown, legacy, , 0F, 48, o32 0F 48 /r, CMOVS r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovs_r64_rm64, Cmovs, UInt64, Unknown, legacy, , 0F, 48, o64 0F 48 /r, CMOVS r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovns_r16_rm16, Cmovns, UInt16, Unknown, legacy, , 0F, 49, o16 0F 49 /r, CMOVNS r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovns_r32_rm32, Cmovns, UInt32, Unknown, legacy, , 0F, 49, o32 0F 49 /r, CMOVNS r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovns_r64_rm64, Cmovns, UInt64, Unknown, legacy, , 0F, 49, o64 0F 49 /r, CMOVNS r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovp_r16_rm16, Cmovp, UInt16, Unknown, legacy, , 0F, 4A, o16 0F 4A /r, CMOVP r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovp_r32_rm32, Cmovp, UInt32, Unknown, legacy, , 0F, 4A, o32 0F 4A /r, CMOVP r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovp_r64_rm64, Cmovp, UInt64, Unknown, legacy, , 0F, 4A, o64 0F 4A /r, CMOVP r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovnp_r16_rm16, Cmovnp, UInt16, Unknown, legacy, , 0F, 4B, o16 0F 4B /r, CMOVNP r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovnp_r32_rm32, Cmovnp, UInt32, Unknown, legacy, , 0F, 4B, o32 0F 4B /r, CMOVNP r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovnp_r64_rm64, Cmovnp, UInt64, Unknown, legacy, , 0F, 4B, o64 0F 4B /r, CMOVNP r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovl_r16_rm16, Cmovl, UInt16, Unknown, legacy, , 0F, 4C, o16 0F 4C /r, CMOVL r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovl_r32_rm32, Cmovl, UInt32, Unknown, legacy, , 0F, 4C, o32 0F 4C /r, CMOVL r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovl_r64_rm64, Cmovl, UInt64, Unknown, legacy, , 0F, 4C, o64 0F 4C /r, CMOVL r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovge_r16_rm16, Cmovge, UInt16, Unknown, legacy, , 0F, 4D, o16 0F 4D /r, CMOVGE r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovge_r32_rm32, Cmovge, UInt32, Unknown, legacy, , 0F, 4D, o32 0F 4D /r, CMOVGE r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovge_r64_rm64, Cmovge, UInt64, Unknown, legacy, , 0F, 4D, o64 0F 4D /r, CMOVGE r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovle_r16_rm16, Cmovle, UInt16, Unknown, legacy, , 0F, 4E, o16 0F 4E /r, CMOVLE r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovle_r32_rm32, Cmovle, UInt32, Unknown, legacy, , 0F, 4E, o32 0F 4E /r, CMOVLE r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovle_r64_rm64, Cmovle, UInt64, Unknown, legacy, , 0F, 4E, o64 0F 4E /r, CMOVLE r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovg_r16_rm16, Cmovg, UInt16, Unknown, legacy, , 0F, 4F, o16 0F 4F /r, CMOVG r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovg_r32_rm32, Cmovg, UInt32, Unknown, legacy, , 0F, 4F, o32 0F 4F /r, CMOVG r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Cmovg_r64_rm64, Cmovg, UInt64, Unknown, legacy, , 0F, 4F, o64 0F 4F /r, CMOVG r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
VEX_Kandw_kr_kr_kr, Kandw, Unknown, Unknown, VEX, NP, 0F, 41, VEX.L1.0F.W0 41 /r, KANDW k1| k2| k3, 16 32 64 cpl0 cpl1 cpl2 cpl3 L1 W0 op=k_reg;k_vvvv;k_rm intel16 intel32 intel64 amd16 amd32 amd64 pm cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
VEX_Kandq_kr_kr_kr, Kandq, Unknown, Unknown, VEX, NP, 0F, 41, VEX.L1.0F.W1 41 /r, KANDQ k1| k2| k3, 16 32 64 cpl0 cpl1 cpl2 cpl3 L1 W1 op=k_reg;k_vvvv;k_rm intel16 intel32 intel64 amd16 amd32 amd64 pm cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
VEX_Kandb_kr_kr_kr, Kandb, Unknown, Unknown, VEX, 66, 0F, 41, VEX.L1.66.0F.W0 41 /r, KANDB k1| k2| k3, 16 32 64 cpl0 cpl1 cpl2 cpl3 L1 W0 op=k_reg;k_vvvv;k_rm intel16 intel32 intel64 amd16 amd32 amd64 pm cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
VEX_Kandd_kr_kr_kr, Kandd, Unknown, Unknown, VEX, 66, 0F, 41, VEX.L1.66.0F.W1 41 /r, KANDD k1| k2| k3, 16 32 64 cpl0 cpl1 cpl2 cpl3 L1 W1 op=k_reg;k_vvvv;k_rm intel16 intel32 intel64 amd16 amd32 amd64 pm cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
VEX_Kandnw_kr_kr_kr, Kandnw, Unknown, Unknown, VEX, NP, 0F, 42, VEX.L1.0F.W0 42 /r, KANDNW k1| k2| k3, 16 32 64 cpl0 cpl1 cpl2 cpl3 L1 W0 op=k_reg;k_vvvv;k_rm intel16 intel32 intel64 amd16 amd32 amd64 pm cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
VEX_Kandnq_kr_kr_kr, Kandnq, Unknown, Unknown, VEX, NP, 0F, 42, VEX.L1.0F.W1 42 /r, KANDNQ k1| k2| k3, 16 32 64 cpl0 cpl1 cpl2 cpl3 L1 W1 op=k_reg;k_vvvv;k_rm intel16 intel32 intel64 amd16 amd32 amd64 pm cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
VEX_Kandnb_kr_kr_kr, Kandnb, Unknown, Unknown, VEX, 66, 0F, 42, VEX.L1.66.0F.W0 42 /r, KANDNB k1| k2| k3, 16 32 64 cpl0 cpl1 cpl2 cpl3 L1 W0 op=k_reg;k_vvvv;k_rm intel16 intel32 intel64 amd16 amd32 amd64 pm cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
VEX_Kandnd_kr_kr_kr, Kandnd, Unknown, Unknown, VEX, 66, 0F, 42, VEX.L1.66.0F.W1 42 /r, KANDND k1| k2| k3, 16 32 64 cpl0 cpl1 cpl2 cpl3 L1 W1 op=k_reg;k_vvvv;k_rm intel16 intel32 intel64 amd16 amd32 amd64 pm cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
VEX_Knotw_kr_kr, Knotw, Unknown, Unknown, VEX, NP, 0F, 44, VEX.L0.0F.W0 44 /r, KNOTW k1| k2, 16 32 64 cpl0 cpl1 cpl2 cpl3 L0 W0 op=k_reg;k_rm intel16 intel32 intel64 amd16 amd32 amd64 pm cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
