# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

00 CE, Add_rm8_r8
62 F2CD4B 28 50 01, EVEX_Vpmuldq_zmm_k1z_zmm_zmmm512b64
62 F2CDDD 28 50 01, EVEX_Vpmuldq_zmm_k1z_zmm_zmmm512b64
62 F27E08 28 D3, EVEX_Vpmovm2b_xmm_kr
62 F27E28 28 D3, EVEX_Vpmovm2b_ymm_kr
62 F27E48 28 D3, EVEX_Vpmovm2b_zmm_kr
62 F2FE08 28 D3, EVEX_Vpmovm2w_xmm_kr
62 F2FE28 28 D3, EVEX_Vpmovm2w_ymm_kr
62 F2FE48 28 D3, EVEX_Vpmovm2w_zmm_kr
66 0F3829 CD, Pcmpeqq_xmm_xmmm128
66 0F3829 08, Pcmpeqq_xmm_xmmm128
C4E249 29 D3, VEX_Vpcmpeqq_xmm_xmm_xmmm128
C4E249 29 10, VEX_Vpcmpeqq_xmm_xmm_xmmm128
C4E24D 29 D3, VEX_Vpcmpeqq_ymm_ymm_ymmm256
C4E24D 29 10, VEX_Vpcmpeqq_ymm_ymm_ymmm256
62 F2CD0B 29 D3, EVEX_Vpcmpeqq_kr_k1_xmm_xmmm128b64
62 F2CD08 29 50 01, EVEX_Vpcmpeqq_kr_k1_xmm_xmmm128b64
62 F2CD1D 29 50 01, EVEX_Vpcmpeqq_kr_k1_xmm_xmmm128b64
62 F2CD2B 29 D3, EVEX_Vpcmpeqq_kr_k1_ymm_ymmm256b64
62 F2CD28 29 50 01, EVEX_Vpcmpeqq_kr_k1_ymm_ymmm256b64
62 F2CD3D 29 50 01, EVEX_Vpcmpeqq_kr_k1_ymm_ymmm256b64
62 F2CD4B 29 D3, EVEX_Vpcmpeqq_kr_k1_zmm_zmmm512b64
62 F2CD48 29 50 01, EVEX_Vpcmpeqq_kr_k1_zmm_zmmm512b64
62 F2CD5D 29 50 01, EVEX_Vpcmpeqq_kr_k1_zmm_zmmm512b64
62 F27E08 29 D3, EVEX_Vpmovb2m_kr_xmm
62 F27E28 29 D3, EVEX_Vpmovb2m_kr_ymm
62 F27E48 29 D3, EVEX_Vpmovb2m_kr_zmm
62 F2FE08 29 D3, EVEX_Vpmovw2m_kr_xmm
62 F2FE28 29 D3, EVEX_Vpmovw2m_kr_ymm
62 F2FE48 29 D3, EVEX_Vpmovw2m_kr_zmm
66 0F382A 08, Movntdqa_xmm_m128
C4E279 2A 10, VEX_Vmovntdqa_xmm_m128
C4E27D 2A 10, VEX_Vmovntdqa_ymm_m256
62 F27D08 2A 50 01, EVEX_Vmovntdqa_xmm_m128
62 F27D28 2A 50 01, EVEX_Vmovntdqa_ymm_m256
62 F27D48 2A 50 01, EVEX_Vmovntdqa_zmm_m512
62 F2FE08 2A D3, EVEX_Vpbroadcastmb2q_xmm_kr
62 F2FE28 2A D3, EVEX_Vpbroadcastmb2q_ymm_kr
62 F2FE48 2A D3, EVEX_Vpbroadcastmb2q_zmm_kr
66 0F382B CD, Packusdw_xmm_xmmm128
66 0F382B 08, Packusdw_xmm_xmmm128
C4E249 2B D3, VEX_Vpackusdw_xmm_xmm_xmmm128
C4E249 2B 10, VEX_Vpackusdw_xmm_xmm_xmmm128
C4E24D 2B D3, VEX_Vpackusdw_ymm_ymm_ymmm256
C4E24D 2B 10, VEX_Vpackusdw_ymm_ymm_ymmm256
62 F24D8B 2B D3, EVEX_Vpackusdw_xmm_k1z_xmm_xmmm128b32
62 F24D0B 2B 50 01, EVEX_Vpackusdw_xmm_k1z_xmm_xmmm128b32
62 F24D9D 2B 50 01, EVEX_Vpackusdw_xmm_k1z_xmm_xmmm128b32
62 F24DAB 2B D3, EVEX_Vpackusdw_ymm_k1z_ymm_ymmm256b32
62 F24D2B 2B 50 01, EVEX_Vpackusdw_ymm_k1z_ymm_ymmm256b32
62 F24DBD 2B 50 01, EVEX_Vpackusdw_ymm_k1z_ymm_ymmm256b32
62 F24DCB 2B D3, EVEX_Vpackusdw_zmm_k1z_zmm_zmmm512b32
62 F24D4B 2B 50 01, EVEX_Vpackusdw_zmm_k1z_zmm_zmmm512b32
62 F24DDD 2B 50 01, EVEX_Vpackusdw_zmm_k1z_zmm_zmmm512b32
C4E249 2C 10, VEX_Vmaskmovps_xmm_xmm_m128
C4E24D 2C 10, VEX_Vmaskmovps_ymm_ymm_m256
62 F24D8B 2C D3, EVEX_Vscalefps_xmm_k1z_xmm_xmmm128b32
62 F24D0B 2C 50 01, EVEX_Vscalefps_xmm_k1z_xmm_xmmm128b32
62 F24D9D 2C 50 01, EVEX_Vscalefps_xmm_k1z_xmm_xmmm128b32
62 F24DAB 2C D3, EVEX_Vscalefps_ymm_k1z_ymm_ymmm256b32
62 F24D2B 2C 50 01, EVEX_Vscalefps_ymm_k1z_ymm_ymmm256b32
62 F24DBD 2C 50 01, EVEX_Vscalefps_ymm_k1z_ymm_ymmm256b32
62 F24DDB 2C D3, EVEX_Vscalefps_zmm_k1z_zmm_zmmm512b32_er
62 F24D4B 2C 50 01, EVEX_Vscalefps_zmm_k1z_zmm_zmmm512b32_er
62 F24DDD 2C 50 01, EVEX_Vscalefps_zmm_k1z_zmm_zmmm512b32_er
62 F2CD8B 2C D3, EVEX_Vscalefpd_xmm_k1z_xmm_xmmm128b64
62 F2CD0B 2C 50 01, EVEX_Vscalefpd_xmm_k1z_xmm_xmmm128b64
62 F2CD9D 2C 50 01, EVEX_Vscalefpd_xmm_k1z_xmm_xmmm128b64
62 F2CDAB 2C D3, EVEX_Vscalefpd_ymm_k1z_ymm_ymmm256b64
62 F2CD2B 2C 50 01, EVEX_Vscalefpd_ymm_k1z_ymm_ymmm256b64
62 F2CDBD 2C 50 01, EVEX_Vscalefpd_ymm_k1z_ymm_ymmm256b64
62 F2CDDB 2C D3, EVEX_Vscalefpd_zmm_k1z_zmm_zmmm512b64_er
62 F2CD4B 2C 50 01, EVEX_Vscalefpd_zmm_k1z_zmm_zmmm512b64_er
62 F2CDDD 2C 50 01, EVEX_Vscalefpd_zmm_k1z_zmm_zmmm512b64_er
C4E249 2D 10, VEX_Vmaskmovpd_xmm_xmm_m128
C4E24D 2D 10, VEX_Vmaskmovpd_ymm_ymm_m256
62 F24D0B 2D D3, EVEX_Vscalefss_xmm_k1z_xmm_xmmm32_er
62 F24D0B 2D 50 01, EVEX_Vscalefss_xmm_k1z_xmm_xmmm32_er
62 F2CD8B 2D D3, EVEX_Vscalefsd_xmm_k1z_xmm_xmmm64_er
62 F2CD0B 2D 50 01, EVEX_Vscalefsd_xmm_k1z_xmm_xmmm64_er
C4E249 2E 10, VEX_Vmaskmovps_m128_xmm_xmm
C4E24D 2E 10, VEX_Vmaskmovps_m256_ymm_ymm
C4E249 2F 10, VEX_Vmaskmovpd_m128_xmm_xmm
C4E24D 2F 10, VEX_Vmaskmovpd_m256_ymm_ymm
66 0F3830 CD, Pmovzxbw_xmm_xmmm64
66 0F3830 08, Pmovzxbw_xmm_xmmm64
C4E279 30 CD, VEX_Vpmovzxbw_xmm_xmmm64
C4E279 30 10, VEX_Vpmovzxbw_xmm_xmmm64
C4E27D 30 CD, VEX_Vpmovzxbw_ymm_xmmm128
C4E27D 30 10, VEX_Vpmovzxbw_ymm_xmmm128
62 F27D08 30 D3, EVEX_Vpmovzxbw_xmm_k1z_xmmm64
62 F27D08 30 50 01, EVEX_Vpmovzxbw_xmm_k1z_xmmm64
62 F27D28 30 D3, EVEX_Vpmovzxbw_ymm_k1z_xmmm128
62 F27D28 30 50 01, EVEX_Vpmovzxbw_ymm_k1z_xmmm128
62 F27D48 30 D3, EVEX_Vpmovzxbw_zmm_k1z_ymmm256
62 F27D48 30 50 01, EVEX_Vpmovzxbw_zmm_k1z_ymmm256
62 F27E0B 30 D3, EVEX_Vpmovwb_xmmm64_k1z_xmm
62 F27E0B 30 50 01, EVEX_Vpmovwb_xmmm64_k1z_xmm
62 F27E2B 30 D3, EVEX_Vpmovwb_xmmm128_k1z_ymm
62 F27E2B 30 50 01, EVEX_Vpmovwb_xmmm128_k1z_ymm
62 F27E4B 30 D3, EVEX_Vpmovwb_ymmm256_k1z_zmm
62 F27E4B 30 50 01, EVEX_Vpmovwb_ymmm256_k1z_zmm
66 0F3831 CD, Pmovzxbd_xmm_xmmm32
66 0F3831 08, Pmovzxbd_xmm_xmmm32
C4E279 31 CD, VEX_Vpmovzxbd_xmm_xmmm32
C4E279 31 10, VEX_Vpmovzxbd_xmm_xmmm32
C4E27D 31 CD, VEX_Vpmovzxbd_ymm_xmmm64
C4E27D 31 10, VEX_Vpmovzxbd_ymm_xmmm64
62 F27D08 31 D3, EVEX_Vpmovzxbd_xmm_k1z_xmmm32
62 F27D08 31 50 01, EVEX_Vpmovzxbd_xmm_k1z_xmmm32
62 F27D28 31 D3, EVEX_Vpmovzxbd_ymm_k1z_xmmm64
62 F27D28 31 50 01, EVEX_Vpmovzxbd_ymm_k1z_xmmm64
62 F27D48 31 D3, EVEX_Vpmovzxbd_zmm_k1z_xmmm128
62 F27D48 31 50 01, EVEX_Vpmovzxbd_zmm_k1z_xmmm128
62 F27E0B 31 D3, EVEX_Vpmovdb_xmmm32_k1z_xmm
62 F27E0B 31 50 01, EVEX_Vpmovdb_xmmm32_k1z_xmm
62 F27E2B 31 D3, EVEX_Vpmovdb_xmmm64_k1z_ymm
62 F27E2B 31 50 01, EVEX_Vpmovdb_xmmm64_k1z_ymm
62 F27E4B 31 D3, EVEX_Vpmovdb_xmmm128_k1z_zmm
62 F27E4B 31 50 01, EVEX_Vpmovdb_xmmm128_k1z_zmm
66 0F3832 CD, Pmovzxbq_xmm_xmmm16
66 0F3832 08, Pmovzxbq_xmm_xmmm16
C4E279 32 CD, VEX_Vpmovzxbq_xmm_xmmm16
C4E279 32 10, VEX_Vpmovzxbq_xmm_xmmm16
C4E27D 32 CD, VEX_Vpmovzxbq_ymm_xmmm32
C4E27D 32 10, VEX_Vpmovzxbq_ymm_xmmm32
62 F27D08 32 D3, EVEX_Vpmovzxbq_xmm_k1z_xmmm16
62 F27D08 32 50 01, EVEX_Vpmovzxbq_xmm_k1z_xmmm16
62 F27D28 32 D3, EVEX_Vpmovzxbq_ymm_k1z_xmmm32
62 F27D28 32 50 01, EVEX_Vpmovzxbq_ymm_k1z_xmmm32
62 F27D48 32 D3, EVEX_Vpmovzxbq_zmm_k1z_xmmm64
62 F27D48 32 50 01, EVEX_Vpmovzxbq_zmm_k1z_xmmm64
62 F27E0B 32 D3, EVEX_Vpmovqb_xmmm16_k1z_xmm
62 F27E0B 32 50 01, EVEX_Vpmovqb_xmmm16_k1z_xmm
62 F27E2B 32 D3, EVEX_Vpmovqb_xmmm32_k1z_ymm
62 F27E2B 32 50 01, EVEX_Vpmovqb_xmmm32_k1z_ymm
62 F27E4B 32 D3, EVEX_Vpmovqb_xmmm64_k1z_zmm
62 F27E4B 32 50 01, EVEX_Vpmovqb_xmmm64_k1z_zmm
66 0F3833 CD, Pmovzxwd_xmm_xmmm64
66 0F3833 08, Pmovzxwd_xmm_xmmm64
C4E279 33 CD, VEX_Vpmovzxwd_xmm_xmmm64
C4E279 33 10, VEX_Vpmovzxwd_xmm_xmmm64
C4E27D 33 CD, VEX_Vpmovzxwd_ymm_xmmm128
C4E27D 33 10, VEX_Vpmovzxwd_ymm_xmmm128
62 F27D08 33 D3, EVEX_Vpmovzxwd_xmm_k1z_xmmm64
62 F27D08 33 50 01, EVEX_Vpmovzxwd_xmm_k1z_xmmm64
62 F27D28 33 D3, EVEX_Vpmovzxwd_ymm_k1z_xmmm128
62 F27D28 33 50 01, EVEX_Vpmovzxwd_ymm_k1z_xmmm128
62 F27D48 33 D3, EVEX_Vpmovzxwd_zmm_k1z_ymmm256
62 F27D48 33 50 01, EVEX_Vpmovzxwd_zmm_k1z_ymmm256
62 F27E0B 33 D3, EVEX_Vpmovdw_xmmm64_k1z_xmm
62 F27E0B 33 50 01, EVEX_Vpmovdw_xmmm64_k1z_xmm
62 F27E2B 33 D3, EVEX_Vpmovdw_xmmm128_k1z_ymm
62 F27E2B 33 50 01, EVEX_Vpmovdw_xmmm128_k1z_ymm
62 F27E4B 33 D3, EVEX_Vpmovdw_ymmm256_k1z_zmm
62 F27E4B 33 50 01, EVEX_Vpmovdw_ymmm256_k1z_zmm
66 0F3834 CD, Pmovzxwq_xmm_xmmm32
66 0F3834 08, Pmovzxwq_xmm_xmmm32
C4E279 34 CD, VEX_Vpmovzxwq_xmm_xmmm32
C4E279 34 10, VEX_Vpmovzxwq_xmm_xmmm32
C4E27D 34 CD, VEX_Vpmovzxwq_ymm_xmmm64
C4E27D 34 10, VEX_Vpmovzxwq_ymm_xmmm64
62 F27D08 34 D3, EVEX_Vpmovzxwq_xmm_k1z_xmmm32
62 F27D08 34 50 01, EVEX_Vpmovzxwq_xmm_k1z_xmmm32
62 F27D28 34 D3, EVEX_Vpmovzxwq_ymm_k1z_xmmm64
62 F27D28 34 50 01, EVEX_Vpmovzxwq_ymm_k1z_xmmm64
62 F27D48 34 D3, EVEX_Vpmovzxwq_zmm_k1z_xmmm128
62 F27D48 34 50 01, EVEX_Vpmovzxwq_zmm_k1z_xmmm128
62 F27E0B 34 D3, EVEX_Vpmovqw_xmmm32_k1z_xmm
62 F27E0B 34 50 01, EVEX_Vpmovqw_xmmm32_k1z_xmm
62 F27E2B 34 D3, EVEX_Vpmovqw_xmmm64_k1z_ymm
62 F27E2B 34 50 01, EVEX_Vpmovqw_xmmm64_k1z_ymm
62 F27E4B 34 D3, EVEX_Vpmovqw_xmmm128_k1z_zmm
62 F27E4B 34 50 01, EVEX_Vpmovqw_xmmm128_k1z_zmm
66 0F3835 CD, Pmovzxdq_xmm_xmmm64
66 0F3835 08, Pmovzxdq_xmm_xmmm64
C4E279 35 CD, VEX_Vpmovzxdq_xmm_xmmm64
C4E279 35 10, VEX_Vpmovzxdq_xmm_xmmm64
C4E27D 35 CD, VEX_Vpmovzxdq_ymm_xmmm128
C4E27D 35 10, VEX_Vpmovzxdq_ymm_xmmm128
62 F27D08 35 D3, EVEX_Vpmovzxdq_xmm_k1z_xmmm64
62 F27D08 35 50 01, EVEX_Vpmovzxdq_xmm_k1z_xmmm64
62 F27D28 35 D3, EVEX_Vpmovzxdq_ymm_k1z_xmmm128
62 F27D28 35 50 01, EVEX_Vpmovzxdq_ymm_k1z_xmmm128
62 F27D48 35 D3, EVEX_Vpmovzxdq_zmm_k1z_ymmm256
62 F27D48 35 50 01, EVEX_Vpmovzxdq_zmm_k1z_ymmm256
62 F27E0B 35 D3, EVEX_Vpmovqd_xmmm64_k1z_xmm
62 F27E0B 35 50 01, EVEX_Vpmovqd_xmmm64_k1z_xmm
62 F27E2B 35 D3, EVEX_Vpmovqd_xmmm128_k1z_ymm
62 F27E2B 35 50 01, EVEX_Vpmovqd_xmmm128_k1z_ymm
62 F27E4B 35 D3, EVEX_Vpmovqd_ymmm256_k1z_zmm
62 F27E4B 35 50 01, EVEX_Vpmovqd_ymmm256_k1z_zmm
C4E24D 36 D3, VEX_Vpermd_ymm_ymm_ymmm256
C4E24D 36 10, VEX_Vpermd_ymm_ymm_ymmm256
62 F24DAB 36 D3, EVEX_Vpermd_ymm_k1z_ymm_ymmm256b32
62 F24D2B 36 50 01, EVEX_Vpermd_ymm_k1z_ymm_ymmm256b32
62 F24DBD 36 50 01, EVEX_Vpermd_ymm_k1z_ymm_ymmm256b32
62 F24DCB 36 D3, EVEX_Vpermd_zmm_k1z_zmm_zmmm512b32
62 F24D4B 36 50 01, EVEX_Vpermd_zmm_k1z_zmm_zmmm512b32
62 F24DDD 36 50 01, EVEX_Vpermd_zmm_k1z_zmm_zmmm512b32
62 F2CDAB 36 D3, EVEX_Vpermq_ymm_k1z_ymm_ymmm256b64
62 F2CD2B 36 50 01, EVEX_Vpermq_ymm_k1z_ymm_ymmm256b64
62 F2CDBD 36 50 01, EVEX_Vpermq_ymm_k1z_ymm_ymmm256b64
62 F2CDCB 36 D3, EVEX_Vpermq_zmm_k1z_zmm_zmmm512b64
62 F2CD4B 36 50 01, EVEX_Vpermq_zmm_k1z_zmm_zmmm512b64
62 F2CDDD 36 50 01, EVEX_Vpermq_zmm_k1z_zmm_zmmm512b64
66 0F3837 CD, Pcmpgtq_xmm_xmmm128
66 0F3837 08, Pcmpgtq_xmm_xmmm128
C4E249 37 D3, VEX_Vpcmpgtq_xmm_xmm_xmmm128
C4E249 37 10, VEX_Vpcmpgtq_xmm_xmm_xmmm128
C4E24D 37 D3, VEX_Vpcmpgtq_ymm_ymm_ymmm256
C4E24D 37 10, VEX_Vpcmpgtq_ymm_ymm_ymmm256
62 F2CD0B 37 D3, EVEX_Vpcmpgtq_kr_k1_xmm_xmmm128b64
62 F2CD08 37 50 01, EVEX_Vpcmpgtq_kr_k1_xmm_xmmm128b64
62 F2CD1D 37 50 01, EVEX_Vpcmpgtq_kr_k1_xmm_xmmm128b64
62 F2CD2B 37 D3, EVEX_Vpcmpgtq_kr_k1_ymm_ymmm256b64
62 F2CD28 37 50 01, EVEX_Vpcmpgtq_kr_k1_ymm_ymmm256b64
62 F2CD3D 37 50 01, EVEX_Vpcmpgtq_kr_k1_ymm_ymmm256b64
62 F2CD4B 37 D3, EVEX_Vpcmpgtq_kr_k1_zmm_zmmm512b64
62 F2CD48 37 50 01, EVEX_Vpcmpgtq_kr_k1_zmm_zmmm512b64
62 F2CD5D 37 50 01, EVEX_Vpcmpgtq_kr_k1_zmm_zmmm512b64
66 0F3838 CD, Pminsb_xmm_xmmm128
66 0F3838 08, Pminsb_xmm_xmmm128
C4E249 38 D3, VEX_Vpminsb_xmm_xmm_xmmm128
C4E249 38 10, VEX_Vpminsb_xmm_xmm_xmmm128
C4E24D 38 D3, VEX_Vpminsb_ymm_ymm_ymmm256
C4E24D 38 10, VEX_Vpminsb_ymm_ymm_ymmm256
62 F24D0B 38 D3, EVEX_Vpminsb_xmm_k1z_xmm_xmmm128
62 F24D0B 38 50 01, EVEX_Vpminsb_xmm_k1z_xmm_xmmm128
62 F24D2B 38 D3, EVEX_Vpminsb_ymm_k1z_ymm_ymmm256
62 F24D2B 38 50 01, EVEX_Vpminsb_ymm_k1z_ymm_ymmm256
62 F24D4B 38 D3, EVEX_Vpminsb_zmm_k1z_zmm_zmmm512
62 F24D4B 38 50 01, EVEX_Vpminsb_zmm_k1z_zmm_zmmm512
62 F27E08 38 D3, EVEX_Vpmovm2d_xmm_kr
62 F27E28 38 D3, EVEX_Vpmovm2d_ymm_kr
62 F27E48 38 D3, EVEX_Vpmovm2d_zmm_kr
62 F2FE08 38 D3, EVEX_Vpmovm2q_xmm_kr
62 F2FE28 38 D3, EVEX_Vpmovm2q_ymm_kr
62 F2FE48 38 D3, EVEX_Vpmovm2q_zmm_kr
66 0F3839 CD, Pminsd_xmm_xmmm128
66 0F3839 08, Pminsd_xmm_xmmm128
C4E249 39 D3, VEX_Vpminsd_xmm_xmm_xmmm128
C4E249 39 10, VEX_Vpminsd_xmm_xmm_xmmm128
C4E24D 39 D3, VEX_Vpminsd_ymm_ymm_ymmm256
C4E24D 39 10, VEX_Vpminsd_ymm_ymm_ymmm256
62 F24D8B 39 D3, EVEX_Vpminsd_xmm_k1z_xmm_xmmm128b32
62 F24D0B 39 50 01, EVEX_Vpminsd_xmm_k1z_xmm_xmmm128b32
62 F24D9D 39 50 01, EVEX_Vpminsd_xmm_k1z_xmm_xmmm128b32
62 F24DAB 39 D3, EVEX_Vpminsd_ymm_k1z_ymm_ymmm256b32
62 F24D2B 39 50 01, EVEX_Vpminsd_ymm_k1z_ymm_ymmm256b32
62 F24DBD 39 50 01, EVEX_Vpminsd_ymm_k1z_ymm_ymmm256b32
62 F24DCB 39 D3, EVEX_Vpminsd_zmm_k1z_zmm_zmmm512b32
62 F24D4B 39 50 01, EVEX_Vpminsd_zmm_k1z_zmm_zmmm512b32
62 F24DDD 39 50 01, EVEX_Vpminsd_zmm_k1z_zmm_zmmm512b32
62 F2CD8B 39 D3, EVEX_Vpminsq_xmm_k1z_xmm_xmmm128b64
62 F2CD0B 39 50 01, EVEX_Vpminsq_xmm_k1z_xmm_xmmm128b64
62 F2CD9D 39 50 01, EVEX_Vpminsq_xmm_k1z_xmm_xmmm128b64
62 F2CDAB 39 D3, EVEX_Vpminsq_ymm_k1z_ymm_ymmm256b64
62 F2CD2B 39 50 01, EVEX_Vpminsq_ymm_k1z_ymm_ymmm256b64
62 F2CDBD 39 50 01, EVEX_Vpminsq_ymm_k1z_ymm_ymmm256b64
62 F2CDCB 39 D3, EVEX_Vpminsq_zmm_k1z_zmm_zmmm512b64
62 F2CD4B 39 50 01, EVEX_Vpminsq_zmm_k1z_zmm_zmmm512b64
62 F2CDDD 39 50 01, EVEX_Vpminsq_zmm_k1z_zmm_zmmm512b64
62 F27E08 39 D3, EVEX_Vpmovd2m_kr_xmm
62 F27E28 39 D3, EVEX_Vpmovd2m_kr_ymm
62 F27E48 39 D3, EVEX_Vpmovd2m_kr_zmm
62 F2FE08 39 D3, EVEX_Vpmovq2m_kr_xmm
62 F2FE28 39 D3, EVEX_Vpmovq2m_kr_ymm
62 F2FE48 39 D3, EVEX_Vpmovq2m_kr_zmm
66 0F383A CD, Pminuw_xmm_xmmm128
66 0F383A 08, Pminuw_xmm_xmmm128
C4E249 3A D3, VEX_Vpminuw_xmm_xmm_xmmm128
C4E249 3A 10, VEX_Vpminuw_xmm_xmm_xmmm128
C4E24D 3A D3, VEX_Vpminuw_ymm_ymm_ymmm256
C4E24D 3A 10, VEX_Vpminuw_ymm_ymm_ymmm256
62 F24D0B 3A D3, EVEX_Vpminuw_xmm_k1z_xmm_xmmm128
62 F24D0B 3A 50 01, EVEX_Vpminuw_xmm_k1z_xmm_xmmm128
62 F24D2B 3A D3, EVEX_Vpminuw_ymm_k1z_ymm_ymmm256
62 F24D2B 3A 50 01, EVEX_Vpminuw_ymm_k1z_ymm_ymmm256
62 F24D4B 3A D3, EVEX_Vpminuw_zmm_k1z_zmm_zmmm512
62 F24D4B 3A 50 01, EVEX_Vpminuw_zmm_k1z_zmm_zmmm512
62 F27E08 3A D3, EVEX_Vpbroadcastmw2d_xmm_kr
62 F27E28 3A D3, EVEX_Vpbroadcastmw2d_ymm_kr
62 F27E48 3A D3, EVEX_Vpbroadcastmw2d_zmm_kr
66 0F383B CD, Pminud_xmm_xmmm128
66 0F383B 08, Pminud_xmm_xmmm128
C4E249 3B D3, VEX_Vpminud_xmm_xmm_xmmm128
C4E249 3B 10, VEX_Vpminud_xmm_xmm_xmmm128
C4E24D 3B D3, VEX_Vpminud_ymm_ymm_ymmm256
C4E24D 3B 10, VEX_Vpminud_ymm_ymm_ymmm256
62 F24D8B 3B D3, EVEX_Vpminud_xmm_k1z_xmm_xmmm128b32
62 F24D0B 3B 50 01, EVEX_Vpminud_xmm_k1z_xmm_xmmm128b32
62 F24D9D 3B 50 01, EVEX_Vpminud_xmm_k1z_xmm_xmmm128b32
62 F24DAB 3B D3, EVEX_Vpminud_ymm_k1z_ymm_ymmm256b32
62 F24D2B 3B 50 01, EVEX_Vpminud_ymm_k1z_ymm_ymmm256b32
62 F24DBD 3B 50 01, EVEX_Vpminud_ymm_k1z_ymm_ymmm256b32
62 F24DCB 3B D3, EVEX_Vpminud_zmm_k1z_zmm_zmmm512b32
62 F24D4B 3B 50 01, EVEX_Vpminud_zmm_k1z_zmm_zmmm512b32
62 F24DDD 3B 50 01, EVEX_Vpminud_zmm_k1z_zmm_zmmm512b32
62 F2CD8B 3B D3, EVEX_Vpminuq_xmm_k1z_xmm_xmmm128b64
62 F2CD0B 3B 50 01, EVEX_Vpminuq_xmm_k1z_xmm_xmmm128b64
62 F2CD9D 3B 50 01, EVEX_Vpminuq_xmm_k1z_xmm_xmmm128b64
62 F2CDAB 3B D3, EVEX_Vpminuq_ymm_k1z_ymm_ymmm256b64
62 F2CD2B 3B 50 01, EVEX_Vpminuq_ymm_k1z_ymm_ymmm256b64
62 F2CDBD 3B 50 01, EVEX_Vpminuq_ymm_k1z_ymm_ymmm256b64
62 F2CDCB 3B D3, EVEX_Vpminuq_zmm_k1z_zmm_zmmm512b64
62 F2CD4B 3B 50 01, EVEX_Vpminuq_zmm_k1z_zmm_zmmm512b64
62 F2CDDD 3B 50 01, EVEX_Vpminuq_zmm_k1z_zmm_zmmm512b64
66 0F383C CD, Pmaxsb_xmm_xmmm128
66 0F383C 08, Pmaxsb_xmm_xmmm128
C4E249 3C D3, VEX_Vpmaxsb_xmm_xmm_xmmm128
C4E249 3C 10, VEX_Vpmaxsb_xmm_xmm_xmmm128
C4E24D 3C D3, VEX_Vpmaxsb_ymm_ymm_ymmm256
C4E24D 3C 10, VEX_Vpmaxsb_ymm_ymm_ymmm256
62 F24D0B 3C D3, EVEX_Vpmaxsb_xmm_k1z_xmm_xmmm128
62 F24D0B 3C 50 01, EVEX_Vpmaxsb_xmm_k1z_xmm_xmmm128
62 F24D2B 3C D3, EVEX_Vpmaxsb_ymm_k1z_ymm_ymmm256
62 F24D2B 3C 50 01, EVEX_Vpmaxsb_ymm_k1z_ymm_ymmm256
62 F24D4B 3C D3, EVEX_Vpmaxsb_zmm_k1z_zmm_zmmm512
62 F24D4B 3C 50 01, EVEX_Vpmaxsb_zmm_k1z_zmm_zmmm512
66 0F383D CD, Pmaxsd_xmm_xmmm128
66 0F383D 08, Pmaxsd_xmm_xmmm128
C4E249 3D D3, VEX_Vpmaxsd_xmm_xmm_xmmm128
C4E249 3D 10, VEX_Vpmaxsd_xmm_xmm_xmmm128
C4E24D 3D D3, VEX_Vpmaxsd_ymm_ymm_ymmm256
C4E24D 3D 10, VEX_Vpmaxsd_ymm_ymm_ymmm256
62 F24D8B 3D D3, EVEX_Vpmaxsd_xmm_k1z_xmm_xmmm128b32
62 F24D0B 3D 50 01, EVEX_Vpmaxsd_xmm_k1z_xmm_xmmm128b32
62 F24D9D 3D 50 01, EVEX_Vpmaxsd_xmm_k1z_xmm_xmmm128b32
62 F24DAB 3D D3, EVEX_Vpmaxsd_ymm_k1z_ymm_ymmm256b32
62 F24D2B 3D 50 01, EVEX_Vpmaxsd_ymm_k1z_ymm_ymmm256b32
62 F24DBD 3D 50 01, EVEX_Vpmaxsd_ymm_k1z_ymm_ymmm256b32
62 F24DCB 3D D3, EVEX_Vpmaxsd_zmm_k1z_zmm_zmmm512b32
62 F24D4B 3D 50 01, EVEX_Vpmaxsd_zmm_k1z_zmm_zmmm512b32
62 F24DDD 3D 50 01, EVEX_Vpmaxsd_zmm_k1z_zmm_zmmm512b32
62 F2CD8B 3D D3, EVEX_Vpmaxsq_xmm_k1z_xmm_xmmm128b64
62 F2CD0B 3D 50 01, EVEX_Vpmaxsq_xmm_k1z_xmm_xmmm128b64
62 F2CD9D 3D 50 01, EVEX_Vpmaxsq_xmm_k1z_xmm_xmmm128b64
62 F2CDAB 3D D3, EVEX_Vpmaxsq_ymm_k1z_ymm_ymmm256b64
62 F2CD2B 3D 50 01, EVEX_Vpmaxsq_ymm_k1z_ymm_ymmm256b64
62 F2CDBD 3D 50 01, EVEX_Vpmaxsq_ymm_k1z_ymm_ymmm256b64
62 F2CDCB 3D D3, EVEX_Vpmaxsq_zmm_k1z_zmm_zmmm512b64
62 F2CD4B 3D 50 01, EVEX_Vpmaxsq_zmm_k1z_zmm_zmmm512b64
62 F2CDDD 3D 50 01, EVEX_Vpmaxsq_zmm_k1z_zmm_zmmm512b64
66 0F383E CD, Pmaxuw_xmm_xmmm128
66 0F383E 08, Pmaxuw_xmm_xmmm128
C4E249 3E D3, VEX_Vpmaxuw_xmm_xmm_xmmm128
C4E249 3E 10, VEX_Vpmaxuw_xmm_xmm_xmmm128
C4E24D 3E D3, VEX_Vpmaxuw_ymm_ymm_ymmm256
