# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# invalid instruction
26262626262626262626262626262626, INVALID, Legacy, INTEL8086, flow=Exception
# vmovdqa64 ymm2{k3},ymm3
62 F1FD2B 6F D3, EVEX_Vmovdqa64_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512F, op0=rw op1=r w=vmm2 r=ymm2 r=k3 r=ymm3
# vmovdqa64 ymm10{k3}{z},ymm19
62 31FDAB 6F D3, EVEX_Vmovdqa64_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512F, op0=w op1=r w=vmm10 r=k3 r=ymm19
# vmovdqa64 zmm2,zmm3
62 F1FD48 6F D3, EVEX_Vmovdqa64_zmm_k1z_zmmm512, EVEX, AVX512F, op0=w op1=r w=vmm2 r=zmm3
# vmovdqa64 zmm2,[rax+40h]
62 F1FD48 6F 50 01, EVEX_Vmovdqa64_zmm_k1z_zmmm512, EVEX, AVX512F, op0=w op1=r w=vmm2 r=rax rm=ds:rax+0x40;Packed512_UInt64
# vmovdqa64 zmm2{k3},zmm3
62 F1FD4B 6F D3, EVEX_Vmovdqa64_zmm_k1z_zmmm512, EVEX, AVX512F, op0=rcw op1=r cw=vmm2 r=zmm2 r=k3 r=zmm3
# vmovdqa64 zmm10{k3}{z},zmm19
62 31FDCB 6F D3, EVEX_Vmovdqa64_zmm_k1z_zmmm512, EVEX, AVX512F, op0=w op1=r w=vmm10 r=k3 r=zmm19
# movdqu xmm1,xmm5
F3 0F6F CD, Movdqu_xmm_xmmm128, Legacy, SSE2, op0=w op1=r w=xmm1 r=xmm5
# movdqu xmm1,[rax]
F3 0F6F 08, Movdqu_xmm_xmmm128, Legacy, SSE2, op0=w op1=r w=xmm1 r=rax rm=ds:rax;Packed128_UInt32
# vmovdqu xmm1,xmm5
C5FA 6F CD, VEX_Vmovdqu_xmm_xmmm128, VEX, AVX, op0=w op1=r w=vmm1 r=xmm5
# vmovdqu xmm2,xmmword ptr [rax]
C5FA 6F 10, VEX_Vmovdqu_xmm_xmmm128, VEX, AVX, op0=w op1=r w=vmm2 r=rax rm=ds:rax;Packed128_UInt32
# vmovdqu ymm1,ymm5
C5FE 6F CD, VEX_Vmovdqu_ymm_ymmm256, VEX, AVX, op0=w op1=r w=vmm1 r=ymm5
# vmovdqu ymm2,ymmword ptr [rax]
C5FE 6F 10, VEX_Vmovdqu_ymm_ymmm256, VEX, AVX, op0=w op1=r w=vmm2 r=rax rm=ds:rax;Packed256_UInt32
# vmovdqu32 xmm2,xmm3
62 F17E08 6F D3, EVEX_Vmovdqu32_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512F, op0=w op1=r w=vmm2 r=xmm3
# vmovdqu32 xmm2,[rax+10h]
62 F17E08 6F 50 01, EVEX_Vmovdqu32_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512F, op0=w op1=r w=vmm2 r=rax rm=ds:rax+0x10;Packed128_UInt32
# vmovdqu32 xmm2{k3},xmm3
62 F17E0B 6F D3, EVEX_Vmovdqu32_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512F, op0=rw op1=r w=vmm2 r=xmm2 r=k3 r=xmm3
# vmovdqu32 xmm10{k3}{z},xmm19
62 317E8B 6F D3, EVEX_Vmovdqu32_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512F, op0=w op1=r w=vmm10 r=k3 r=xmm19
# vmovdqu32 ymm2,ymm3
62 F17E28 6F D3, EVEX_Vmovdqu32_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512F, op0=w op1=r w=vmm2 r=ymm3
# vmovdqu32 ymm2,[rax+20h]
62 F17E28 6F 50 01, EVEX_Vmovdqu32_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512F, op0=w op1=r w=vmm2 r=rax rm=ds:rax+0x20;Packed256_UInt32
# vmovdqu32 ymm2{k3},ymm3
62 F17E2B 6F D3, EVEX_Vmovdqu32_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512F, op0=rw op1=r w=vmm2 r=ymm2 r=k3 r=ymm3
# vmovdqu32 ymm10{k3}{z},ymm19
62 317EAB 6F D3, EVEX_Vmovdqu32_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512F, op0=w op1=r w=vmm10 r=k3 r=ymm19
# vmovdqu32 zmm2,zmm3
62 F17E48 6F D3, EVEX_Vmovdqu32_zmm_k1z_zmmm512, EVEX, AVX512F, op0=w op1=r w=vmm2 r=zmm3
# vmovdqu32 zmm2,[rax+40h]
62 F17E48 6F 50 01, EVEX_Vmovdqu32_zmm_k1z_zmmm512, EVEX, AVX512F, op0=w op1=r w=vmm2 r=rax rm=ds:rax+0x40;Packed512_UInt32
# vmovdqu32 zmm2{k3},zmm3
62 F17E4B 6F D3, EVEX_Vmovdqu32_zmm_k1z_zmmm512, EVEX, AVX512F, op0=rcw op1=r cw=vmm2 r=zmm2 r=k3 r=zmm3
# vmovdqu32 zmm10{k3}{z},zmm19
62 317ECB 6F D3, EVEX_Vmovdqu32_zmm_k1z_zmmm512, EVEX, AVX512F, op0=w op1=r w=vmm10 r=k3 r=zmm19
# vmovdqu64 xmm2,xmm3
62 F1FE08 6F D3, EVEX_Vmovdqu64_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512F, op0=w op1=r w=vmm2 r=xmm3
# vmovdqu64 xmm2,[rax+10h]
62 F1FE08 6F 50 01, EVEX_Vmovdqu64_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512F, op0=w op1=r w=vmm2 r=rax rm=ds:rax+0x10;Packed128_UInt64
# vmovdqu64 xmm2{k3},xmm3
62 F1FE0B 6F D3, EVEX_Vmovdqu64_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512F, op0=rw op1=r w=vmm2 r=xmm2 r=k3 r=xmm3
# vmovdqu64 xmm10{k3}{z},xmm19
62 31FE8B 6F D3, EVEX_Vmovdqu64_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512F, op0=w op1=r w=vmm10 r=k3 r=xmm19
# vmovdqu64 ymm2,ymm3
62 F1FE28 6F D3, EVEX_Vmovdqu64_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512F, op0=w op1=r w=vmm2 r=ymm3
# vmovdqu64 ymm2,[rax+20h]
62 F1FE28 6F 50 01, EVEX_Vmovdqu64_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512F, op0=w op1=r w=vmm2 r=rax rm=ds:rax+0x20;Packed256_UInt64
# vmovdqu64 ymm2{k3},ymm3
62 F1FE2B 6F D3, EVEX_Vmovdqu64_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512F, op0=rw op1=r w=vmm2 r=ymm2 r=k3 r=ymm3
# vmovdqu64 ymm10{k3}{z},ymm19
62 31FEAB 6F D3, EVEX_Vmovdqu64_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512F, op0=w op1=r w=vmm10 r=k3 r=ymm19
# vmovdqu64 zmm2,zmm3
62 F1FE48 6F D3, EVEX_Vmovdqu64_zmm_k1z_zmmm512, EVEX, AVX512F, op0=w op1=r w=vmm2 r=zmm3
# vmovdqu64 zmm2,[rax+40h]
62 F1FE48 6F 50 01, EVEX_Vmovdqu64_zmm_k1z_zmmm512, EVEX, AVX512F, op0=w op1=r w=vmm2 r=rax rm=ds:rax+0x40;Packed512_UInt64
# vmovdqu64 zmm2{k3},zmm3
62 F1FE4B 6F D3, EVEX_Vmovdqu64_zmm_k1z_zmmm512, EVEX, AVX512F, op0=rcw op1=r cw=vmm2 r=zmm2 r=k3 r=zmm3
# vmovdqu64 zmm10{k3}{z},zmm19
62 31FECB 6F D3, EVEX_Vmovdqu64_zmm_k1z_zmmm512, EVEX, AVX512F, op0=w op1=r w=vmm10 r=k3 r=zmm19
# vmovdqu8 xmm2,xmm3
62 F17F08 6F D3, EVEX_Vmovdqu8_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512BW, op0=w op1=r w=vmm2 r=xmm3
# vmovdqu8 xmm2,[rax+10h]
62 F17F08 6F 50 01, EVEX_Vmovdqu8_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512BW, op0=w op1=r w=vmm2 r=rax rm=ds:rax+0x10;Packed128_UInt8
# vmovdqu8 xmm2{k3},xmm3
62 F17F0B 6F D3, EVEX_Vmovdqu8_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512BW, op0=rw op1=r w=vmm2 r=xmm2 r=k3 r=xmm3
# vmovdqu8 xmm10{k3}{z},xmm19
62 317F8B 6F D3, EVEX_Vmovdqu8_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512BW, op0=w op1=r w=vmm10 r=k3 r=xmm19
# vmovdqu8 ymm2,ymm3
62 F17F28 6F D3, EVEX_Vmovdqu8_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512BW, op0=w op1=r w=vmm2 r=ymm3
# vmovdqu8 ymm2,[rax+20h]
62 F17F28 6F 50 01, EVEX_Vmovdqu8_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512BW, op0=w op1=r w=vmm2 r=rax rm=ds:rax+0x20;Packed256_UInt8
# vmovdqu8 ymm2{k3},ymm3
62 F17F2B 6F D3, EVEX_Vmovdqu8_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512BW, op0=rw op1=r w=vmm2 r=ymm2 r=k3 r=ymm3
# vmovdqu8 ymm10{k3}{z},ymm19
62 317FAB 6F D3, EVEX_Vmovdqu8_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512BW, op0=w op1=r w=vmm10 r=k3 r=ymm19
# vmovdqu8 zmm2,zmm3
62 F17F48 6F D3, EVEX_Vmovdqu8_zmm_k1z_zmmm512, EVEX, AVX512BW, op0=w op1=r w=vmm2 r=zmm3
# vmovdqu8 zmm2,[rax+40h]
62 F17F48 6F 50 01, EVEX_Vmovdqu8_zmm_k1z_zmmm512, EVEX, AVX512BW, op0=w op1=r w=vmm2 r=rax rm=ds:rax+0x40;Packed512_UInt8
# vmovdqu8 zmm2{k3},zmm3
62 F17F4B 6F D3, EVEX_Vmovdqu8_zmm_k1z_zmmm512, EVEX, AVX512BW, op0=rcw op1=r cw=vmm2 r=zmm2 r=k3 r=zmm3
# vmovdqu8 zmm10{k3}{z},zmm19
62 317FCB 6F D3, EVEX_Vmovdqu8_zmm_k1z_zmmm512, EVEX, AVX512BW, op0=w op1=r w=vmm10 r=k3 r=zmm19
# vmovdqu16 xmm2,xmm3
62 F1FF08 6F D3, EVEX_Vmovdqu16_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512BW, op0=w op1=r w=vmm2 r=xmm3
# vmovdqu16 xmm2,[rax+10h]
62 F1FF08 6F 50 01, EVEX_Vmovdqu16_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512BW, op0=w op1=r w=vmm2 r=rax rm=ds:rax+0x10;Packed128_UInt16
# vmovdqu16 xmm2{k3},xmm3
62 F1FF0B 6F D3, EVEX_Vmovdqu16_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512BW, op0=rw op1=r w=vmm2 r=xmm2 r=k3 r=xmm3
# vmovdqu16 xmm10{k3}{z},xmm19
62 31FF8B 6F D3, EVEX_Vmovdqu16_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512BW, op0=w op1=r w=vmm10 r=k3 r=xmm19
# vmovdqu16 ymm2,ymm3
62 F1FF28 6F D3, EVEX_Vmovdqu16_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512BW, op0=w op1=r w=vmm2 r=ymm3
# vmovdqu16 ymm2,[rax+20h]
62 F1FF28 6F 50 01, EVEX_Vmovdqu16_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512BW, op0=w op1=r w=vmm2 r=rax rm=ds:rax+0x20;Packed256_UInt16
# vmovdqu16 ymm2{k3},ymm3
62 F1FF2B 6F D3, EVEX_Vmovdqu16_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512BW, op0=rw op1=r w=vmm2 r=ymm2 r=k3 r=ymm3
# vmovdqu16 ymm10{k3}{z},ymm19
62 31FFAB 6F D3, EVEX_Vmovdqu16_ymm_k1z_ymmm256, EVEX, AVX512VL;AVX512BW, op0=w op1=r w=vmm10 r=k3 r=ymm19
# vmovdqu16 zmm2,zmm3
62 F1FF48 6F D3, EVEX_Vmovdqu16_zmm_k1z_zmmm512, EVEX, AVX512BW, op0=w op1=r w=vmm2 r=zmm3
# vmovdqu16 zmm2,[rax+40h]
62 F1FF48 6F 50 01, EVEX_Vmovdqu16_zmm_k1z_zmmm512, EVEX, AVX512BW, op0=w op1=r w=vmm2 r=rax rm=ds:rax+0x40;Packed512_UInt16
# vmovdqu16 zmm2{k3},zmm3
62 F1FF4B 6F D3, EVEX_Vmovdqu16_zmm_k1z_zmmm512, EVEX, AVX512BW, op0=rcw op1=r cw=vmm2 r=zmm2 r=k3 r=zmm3
# vmovdqu16 zmm10{k3}{z},zmm19
62 31FFCB 6F D3, EVEX_Vmovdqu16_zmm_k1z_zmmm512, EVEX, AVX512BW, op0=w op1=r w=vmm10 r=k3 r=zmm19
# pshufw mm1,mm5,0A5h
0F70 CD A5, Pshufw_mm_mmm64_imm8, Legacy, SSE, op0=w op1=r op2=r w=mm1 r=mm5
# pshufw mm1,[rax],0A5h
0F70 08 A5, Pshufw_mm_mmm64_imm8, Legacy, SSE, op0=w op1=r op2=r w=mm1 r=rax rm=ds:rax;Packed64_UInt16
# pshufd xmm1,xmm5,0A5h
66 0F70 CD A5, Pshufd_xmm_xmmm128_imm8, Legacy, SSE2, op0=w op1=r op2=r w=xmm1 r=xmm5
# pshufd xmm1,[rax],0A5h
66 0F70 08 A5, Pshufd_xmm_xmmm128_imm8, Legacy, SSE2, op0=w op1=r op2=r w=xmm1 r=rax rm=ds:rax;Packed128_UInt32
# vpshufd xmm2,xmm3,0A5h
C5F9 70 D3 A5, VEX_Vpshufd_xmm_xmmm128_imm8, VEX, AVX, op0=w op1=r op2=r w=vmm2 r=xmm3
# vpshufd xmm2,[rax],0A5h
C5F9 70 10 A5, VEX_Vpshufd_xmm_xmmm128_imm8, VEX, AVX, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax;Packed128_UInt32
# vpshufd ymm2,ymm3,0A5h
C5FD 70 D3 A5, VEX_Vpshufd_ymm_ymmm256_imm8, VEX, AVX2, op0=w op1=r op2=r w=vmm2 r=ymm3
# vpshufd ymm2,[rax],0A5h
C5FD 70 10 A5, VEX_Vpshufd_ymm_ymmm256_imm8, VEX, AVX2, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax;Packed256_UInt32
# vpshufd xmm2,xmm19,0A5h
62 B17D08 70 D3 A5, EVEX_Vpshufd_xmm_k1z_xmmm128b32_imm8, EVEX, AVX512VL;AVX512F, op0=w op1=r op2=r w=vmm2 r=xmm19
# vpshufd xmm2,[rax+10h],0A5h
62 F17D08 70 50 01 A5, EVEX_Vpshufd_xmm_k1z_xmmm128b32_imm8, EVEX, AVX512VL;AVX512F, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax+0x10;Packed128_UInt32
# vpshufd xmm18{k3},xmm3,0A5h
62 E17D0B 70 D3 A5, EVEX_Vpshufd_xmm_k1z_xmmm128b32_imm8, EVEX, AVX512VL;AVX512F, op0=rw op1=r op2=r w=vmm18 r=xmm18 r=k3 r=xmm3
# vpshufd xmm2{k3}{z},xmm3,0A5h
62 F17D8B 70 D3 A5, EVEX_Vpshufd_xmm_k1z_xmmm128b32_imm8, EVEX, AVX512VL;AVX512F, op0=w op1=r op2=r w=vmm2 r=k3 r=xmm3
# vpshufd ymm2,ymm19,0A5h
62 B17D28 70 D3 A5, EVEX_Vpshufd_ymm_k1z_ymmm256b32_imm8, EVEX, AVX512VL;AVX512F, op0=w op1=r op2=r w=vmm2 r=ymm19
# vpshufd ymm2,[rax+20h],0A5h
62 F17D28 70 50 01 A5, EVEX_Vpshufd_ymm_k1z_ymmm256b32_imm8, EVEX, AVX512VL;AVX512F, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax+0x20;Packed256_UInt32
# vpshufd ymm18{k3},ymm3,0A5h
62 E17D2B 70 D3 A5, EVEX_Vpshufd_ymm_k1z_ymmm256b32_imm8, EVEX, AVX512VL;AVX512F, op0=rw op1=r op2=r w=vmm18 r=ymm18 r=k3 r=ymm3
# vpshufd ymm2{k3}{z},ymm3,0A5h
62 F17DAB 70 D3 A5, EVEX_Vpshufd_ymm_k1z_ymmm256b32_imm8, EVEX, AVX512VL;AVX512F, op0=w op1=r op2=r w=vmm2 r=k3 r=ymm3
# vpshufd zmm2,zmm19,0A5h
62 B17D48 70 D3 A5, EVEX_Vpshufd_zmm_k1z_zmmm512b32_imm8, EVEX, AVX512F, op0=w op1=r op2=r w=vmm2 r=zmm19
# vpshufd zmm2,[rax+40h],0A5h
62 F17D48 70 50 01 A5, EVEX_Vpshufd_zmm_k1z_zmmm512b32_imm8, EVEX, AVX512F, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax+0x40;Packed512_UInt32
# vpshufd zmm18{k3},zmm3,0A5h
62 E17D4B 70 D3 A5, EVEX_Vpshufd_zmm_k1z_zmmm512b32_imm8, EVEX, AVX512F, op0=rcw op1=r op2=r cw=vmm18 r=zmm18 r=k3 r=zmm3
# vpshufd zmm2{k3}{z},zmm3,0A5h
62 F17DCB 70 D3 A5, EVEX_Vpshufd_zmm_k1z_zmmm512b32_imm8, EVEX, AVX512F, op0=w op1=r op2=r w=vmm2 r=k3 r=zmm3
# pshufhw xmm1,xmm5,0A5h
F3 0F70 CD A5, Pshufhw_xmm_xmmm128_imm8, Legacy, SSE2, op0=w op1=r op2=r w=xmm1 r=xmm5
# pshufhw xmm1,[rax],0A5h
F3 0F70 08 A5, Pshufhw_xmm_xmmm128_imm8, Legacy, SSE2, op0=w op1=r op2=r w=xmm1 r=rax rm=ds:rax;Packed128_UInt16
# vpshufhw xmm2,xmm3,0A5h
C5FA 70 D3 A5, VEX_Vpshufhw_xmm_xmmm128_imm8, VEX, AVX, op0=w op1=r op2=r w=vmm2 r=xmm3
# vpshufhw xmm2,[rax],0A5h
C5FA 70 10 A5, VEX_Vpshufhw_xmm_xmmm128_imm8, VEX, AVX, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax;Packed128_UInt16
# vpshufhw ymm2,ymm3,0A5h
C5FE 70 D3 A5, VEX_Vpshufhw_ymm_ymmm256_imm8, VEX, AVX2, op0=w op1=r op2=r w=vmm2 r=ymm3
# vpshufhw ymm2,[rax],0A5h
C5FE 70 10 A5, VEX_Vpshufhw_ymm_ymmm256_imm8, VEX, AVX2, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax;Packed256_UInt16
# vpshufhw xmm2,xmm19,0A5h
62 B17E08 70 D3 A5, EVEX_Vpshufhw_xmm_k1z_xmmm128_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm2 r=xmm19
# vpshufhw xmm2,[rax+10h],0A5h
62 F17E08 70 50 01 A5, EVEX_Vpshufhw_xmm_k1z_xmmm128_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax+0x10;Packed128_UInt16
# vpshufhw xmm18{k3},xmm3,0A5h
62 E17E0B 70 D3 A5, EVEX_Vpshufhw_xmm_k1z_xmmm128_imm8, EVEX, AVX512VL;AVX512BW, op0=rw op1=r op2=r w=vmm18 r=xmm18 r=k3 r=xmm3
# vpshufhw xmm2{k3}{z},xmm3,0A5h
62 F17E8B 70 D3 A5, EVEX_Vpshufhw_xmm_k1z_xmmm128_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm2 r=k3 r=xmm3
# vpshufhw ymm2,ymm19,0A5h
62 B17E28 70 D3 A5, EVEX_Vpshufhw_ymm_k1z_ymmm256_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm2 r=ymm19
# vpshufhw ymm2,[rax+20h],0A5h
62 F17E28 70 50 01 A5, EVEX_Vpshufhw_ymm_k1z_ymmm256_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax+0x20;Packed256_UInt16
# vpshufhw ymm18{k3},ymm3,0A5h
62 E17E2B 70 D3 A5, EVEX_Vpshufhw_ymm_k1z_ymmm256_imm8, EVEX, AVX512VL;AVX512BW, op0=rw op1=r op2=r w=vmm18 r=ymm18 r=k3 r=ymm3
# vpshufhw ymm2{k3}{z},ymm3,0A5h
62 F17EAB 70 D3 A5, EVEX_Vpshufhw_ymm_k1z_ymmm256_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm2 r=k3 r=ymm3
# vpshufhw zmm2,zmm19,0A5h
62 B17E48 70 D3 A5, EVEX_Vpshufhw_zmm_k1z_zmmm512_imm8, EVEX, AVX512BW, op0=w op1=r op2=r w=vmm2 r=zmm19
# vpshufhw zmm2,[rax+40h],0A5h
62 F17E48 70 50 01 A5, EVEX_Vpshufhw_zmm_k1z_zmmm512_imm8, EVEX, AVX512BW, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax+0x40;Packed512_UInt16
# vpshufhw zmm18{k3},zmm3,0A5h
62 E17E4B 70 D3 A5, EVEX_Vpshufhw_zmm_k1z_zmmm512_imm8, EVEX, AVX512BW, op0=rcw op1=r op2=r cw=vmm18 r=zmm18 r=k3 r=zmm3
# vpshufhw zmm2{k3}{z},zmm3,0A5h
62 F17ECB 70 D3 A5, EVEX_Vpshufhw_zmm_k1z_zmmm512_imm8, EVEX, AVX512BW, op0=w op1=r op2=r w=vmm2 r=k3 r=zmm3
# pshuflw xmm1,xmm5,0A5h
F2 0F70 CD A5, Pshuflw_xmm_xmmm128_imm8, Legacy, SSE2, op0=w op1=r op2=r w=xmm1 r=xmm5
# pshuflw xmm1,[rax],0A5h
F2 0F70 08 A5, Pshuflw_xmm_xmmm128_imm8, Legacy, SSE2, op0=w op1=r op2=r w=xmm1 r=rax rm=ds:rax;Packed128_UInt16
# vpshuflw xmm2,xmm3,0A5h
C5FB 70 D3 A5, VEX_Vpshuflw_xmm_xmmm128_imm8, VEX, AVX, op0=w op1=r op2=r w=vmm2 r=xmm3
# vpshuflw xmm2,[rax],0A5h
C5FB 70 10 A5, VEX_Vpshuflw_xmm_xmmm128_imm8, VEX, AVX, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax;Packed128_UInt16
# vpshuflw ymm2,ymm3,0A5h
C5FF 70 D3 A5, VEX_Vpshuflw_ymm_ymmm256_imm8, VEX, AVX2, op0=w op1=r op2=r w=vmm2 r=ymm3
# vpshuflw ymm2,[rax],0A5h
C5FF 70 10 A5, VEX_Vpshuflw_ymm_ymmm256_imm8, VEX, AVX2, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax;Packed256_UInt16
# vpshuflw xmm2,xmm19,0A5h
62 B17F08 70 D3 A5, EVEX_Vpshuflw_xmm_k1z_xmmm128_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm2 r=xmm19
# vpshuflw xmm2,[rax+10h],0A5h
62 F17F08 70 50 01 A5, EVEX_Vpshuflw_xmm_k1z_xmmm128_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax+0x10;Packed128_UInt16
# vpshuflw xmm18{k3},xmm3,0A5h
62 E17F0B 70 D3 A5, EVEX_Vpshuflw_xmm_k1z_xmmm128_imm8, EVEX, AVX512VL;AVX512BW, op0=rw op1=r op2=r w=vmm18 r=xmm18 r=k3 r=xmm3
# vpshuflw xmm2{k3}{z},xmm3,0A5h
62 F17F8B 70 D3 A5, EVEX_Vpshuflw_xmm_k1z_xmmm128_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm2 r=k3 r=xmm3
# vpshuflw ymm2,ymm19,0A5h
62 B17F28 70 D3 A5, EVEX_Vpshuflw_ymm_k1z_ymmm256_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm2 r=ymm19
# vpshuflw ymm2,[rax+20h],0A5h
62 F17F28 70 50 01 A5, EVEX_Vpshuflw_ymm_k1z_ymmm256_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax+0x20;Packed256_UInt16
# vpshuflw ymm18{k3},ymm3,0A5h
62 E17F2B 70 D3 A5, EVEX_Vpshuflw_ymm_k1z_ymmm256_imm8, EVEX, AVX512VL;AVX512BW, op0=rw op1=r op2=r w=vmm18 r=ymm18 r=k3 r=ymm3
# vpshuflw ymm2{k3}{z},ymm3,0A5h
62 F17FAB 70 D3 A5, EVEX_Vpshuflw_ymm_k1z_ymmm256_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm2 r=k3 r=ymm3
# vpshuflw zmm2,zmm19,0A5h
62 B17F48 70 D3 A5, EVEX_Vpshuflw_zmm_k1z_zmmm512_imm8, EVEX, AVX512BW, op0=w op1=r op2=r w=vmm2 r=zmm19
# vpshuflw zmm2,[rax+40h],0A5h
62 F17F48 70 50 01 A5, EVEX_Vpshuflw_zmm_k1z_zmmm512_imm8, EVEX, AVX512BW, op0=w op1=r op2=r w=vmm2 r=rax rm=ds:rax+0x40;Packed512_UInt16
# vpshuflw zmm18{k3},zmm3,0A5h
62 E17F4B 70 D3 A5, EVEX_Vpshuflw_zmm_k1z_zmmm512_imm8, EVEX, AVX512BW, op0=rcw op1=r op2=r cw=vmm18 r=zmm18 r=k3 r=zmm3
# vpshuflw zmm2{k3}{z},zmm3,0A5h
62 F17FCB 70 D3 A5, EVEX_Vpshuflw_zmm_k1z_zmmm512_imm8, EVEX, AVX512BW, op0=w op1=r op2=r w=vmm2 r=k3 r=zmm3
# psrlw mm5,0A5h
0F71 D5 A5, Psrlw_mm_imm8, Legacy, MMX, op0=rw op1=r rw=mm5
# psrlw xmm5,0A5h
66 0F71 D5 A5, Psrlw_xmm_imm8, Legacy, SSE2, op0=rw op1=r rw=xmm5
# vpsrlw xmm6,xmm5,0A5h
C5C9 71 D5 A5, VEX_Vpsrlw_xmm_xmm_imm8, VEX, AVX, op0=w op1=r op2=r w=vmm6 r=xmm5
# vpsrlw ymm6,ymm5,0A5h
C5CD 71 D5 A5, VEX_Vpsrlw_ymm_ymm_imm8, VEX, AVX2, op0=w op1=r op2=r w=vmm6 r=ymm5
# vpsrlw xmm14,xmm21,0A5h
62 B10D08 71 D5 A5, EVEX_Vpsrlw_xmm_k1z_xmmm128_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm14 r=xmm21
# vpsrlw xmm6,[rax+10h],0A5h
62 F14D08 71 50 01 A5, EVEX_Vpsrlw_xmm_k1z_xmmm128_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm6 r=rax rm=ds:rax+0x10;Packed128_UInt16
# vpsrlw xmm6{k3},xmm5,0A5h
62 F14D0B 71 D5 A5, EVEX_Vpsrlw_xmm_k1z_xmmm128_imm8, EVEX, AVX512VL;AVX512BW, op0=rw op1=r op2=r w=vmm6 r=xmm6 r=k3 r=xmm5
# vpsrlw xmm6{k3}{z},xmm13,0A5h
62 D14D8B 71 D5 A5, EVEX_Vpsrlw_xmm_k1z_xmmm128_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm6 r=k3 r=xmm13
# vpsrlw ymm14,ymm21,0A5h
62 B10D28 71 D5 A5, EVEX_Vpsrlw_ymm_k1z_ymmm256_imm8, EVEX, AVX512VL;AVX512BW, op0=w op1=r op2=r w=vmm14 r=ymm21
# vpsrlw ymm6,[rax+20h],0A5h
