# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# pushw es
66 06, Pushw_ES, Legacy, INTEL8086, op0=r r=ss rw=xsp r=es wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
EA 12345678 EABC, Jmp_ptr1632, Legacy, INTEL386, flow=UnconditionalBranch op0=r
# jmp short 004Dh
66 EB 5A, Jmp_rel8_16, Legacy, INTEL8086, flow=UnconditionalBranch op0=r
# jmp short 8000004Ch
EB 5A, Jmp_rel8_32, Legacy, INTEL386, flow=UnconditionalBranch op0=r
# call cx
66 FF D1, Call_rm16, Legacy, INTEL8086, flow=IndirectCall op0=r r=ss rw=xsp r=cx wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# call word ptr [eax]
66 FF 10, Call_rm16, Legacy, INTEL8086, flow=IndirectCall op0=r r=ss rw=xsp r=ds r=eax rm=ds:eax;WordOffset wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# call ecx
FF D1, Call_rm32, Legacy, INTEL386, flow=IndirectCall op0=r r=ss rw=xsp r=ecx wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# call dword ptr [eax]
FF 10, Call_rm32, Legacy, INTEL386, flow=IndirectCall op0=r r=ss rw=xsp r=ds r=eax rm=ds:eax;DwordOffset wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# call dword ptr [eax]
66 FF 18, Call_m1616, Legacy, INTEL8086, flow=IndirectCall op0=r r=ss rw=xsp r=ds r=eax rm=ds:eax;SegPtr16 wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt16 stack=-4
# call fword ptr [eax]
FF 18, Call_m1632, Legacy, INTEL386, flow=IndirectCall op0=r r=ss rw=xsp r=ds r=eax rm=ds:eax;SegPtr32 wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt32 stack=-8
# jmp dx
66 FF E2, Jmp_rm16, Legacy, INTEL8086, flow=IndirectBranch op0=r r=dx
# jmp word ptr [eax]
66 FF 20, Jmp_rm16, Legacy, INTEL8086, flow=IndirectBranch op0=r r=ds r=eax rm=ds:eax;WordOffset
# jmp edx
FF E2, Jmp_rm32, Legacy, INTEL386, flow=IndirectBranch op0=r r=edx
# jmp dword ptr [eax]
FF 20, Jmp_rm32, Legacy, INTEL386, flow=IndirectBranch op0=r r=ds r=eax rm=ds:eax;DwordOffset
# push si
66 FF F6, Push_rm16, Legacy, INTEL8086, op0=r r=ss rw=xsp r=si wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push word ptr [eax]
66 FF 30, Push_rm16, Legacy, INTEL8086, op0=r r=ss rw=xsp r=ds r=eax rm=ds:eax;UInt16 wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push esi
FF F6, Push_rm32, Legacy, INTEL386, op0=r r=ss rw=xsp r=esi wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# push dword ptr [eax]
FF 30, Push_rm32, Legacy, INTEL386, op0=r r=ss rw=xsp r=ds r=eax rm=ds:eax;UInt32 wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# sgdtw [eax]
66 0F01 00, Sgdt_m1632_16, Legacy, INTEL286, op0=w r=ds r=eax wm=ds:eax;Fword6
# sgdt [eax]
0F01 00, Sgdt_m1632, Legacy, INTEL386, op0=w r=ds r=eax wm=ds:eax;Fword6
# sidtw [eax]
66 0F01 08, Sidt_m1632_16, Legacy, INTEL286, op0=w r=ds r=eax wm=ds:eax;Fword6
# sidt [eax]
0F01 08, Sidt_m1632, Legacy, INTEL386, op0=w r=ds r=eax wm=ds:eax;Fword6
# lgdtw fword ptr [eax]
66 0F01 10, Lgdt_m1632_16, Legacy, INTEL286, priv op0=r r=ds r=eax rm=ds:eax;Fword6
# lgdt fword ptr [eax]
0F01 10, Lgdt_m1632, Legacy, INTEL386, priv op0=r r=ds r=eax rm=ds:eax;Fword6
# lidtw fword ptr [eax]
66 0F01 18, Lidt_m1632_16, Legacy, INTEL286, priv op0=r r=ds r=eax rm=ds:eax;Fword6
# lidt fword ptr [eax]
0F01 18, Lidt_m1632, Legacy, INTEL386, priv op0=r r=ds r=eax rm=ds:eax;Fword6
# monitor ax,ecx,edx
67 0F01 C8, Monitorw, Legacy, MONITOR, r=ds;ax;ecx;edx
# monitor eax,ecx,edx
0F01 C8, Monitord, Legacy, MONITOR, r=ds;eax;ecx;edx
# mwait eax,ecx
0F01 C9, Mwait, Legacy, MONITOR, r=eax;ecx
# bndmov bnd1,bnd2
66 0F1A CA, Bndmov_bnd_bndm64, Legacy, MPX, op0=w op1=r w=bnd1 r=bnd2 decopt=MPX
# bndmov bnd1,qword ptr [edx+esi*8]
66 0F1A 0C F2, Bndmov_bnd_bndm64, Legacy, MPX, op0=w op1=r w=bnd1 r=ds r=edx;esi rm=ds:edx+esi*8;Bnd32 decopt=MPX
# bndcl bnd1,edx
F3 0F1A CA, Bndcl_bnd_rm32, Legacy, MPX, op0=r op1=r r=bnd1 r=edx decopt=MPX
# bndcl bnd1,[edx+esi*8]
F3 0F1A 0C F2, Bndcl_bnd_rm32, Legacy, MPX, op0=r op1=nma r=bnd1 r=edx;esi decopt=MPX
# bndcl bnd1,[edx+esi*8]
64 F3 0F1A 0C F2, Bndcl_bnd_rm32, Legacy, MPX, op0=r op1=nma r=bnd1 r=edx;esi decopt=MPX
# bndcu bnd1,edx
F2 0F1A CA, Bndcu_bnd_rm32, Legacy, MPX, op0=r op1=r r=bnd1 r=edx decopt=MPX
# bndcu bnd1,[edx+esi*8]
F2 0F1A 0C F2, Bndcu_bnd_rm32, Legacy, MPX, op0=r op1=nma r=bnd1 r=edx;esi decopt=MPX
# bndcu bnd1,[edx+esi*8]
64 F2 0F1A 0C F2, Bndcu_bnd_rm32, Legacy, MPX, op0=r op1=nma r=bnd1 r=edx;esi decopt=MPX
# bndmov bnd2,bnd1
66 0F1B CA, Bndmov_bndm64_bnd, Legacy, MPX, op0=w op1=r w=bnd2 r=bnd1 decopt=MPX
# bndmov qword ptr [edx+esi*8],bnd1
66 0F1B 0C F2, Bndmov_bndm64_bnd, Legacy, MPX, op0=w op1=r r=ds r=edx;esi r=bnd1 wm=ds:edx+esi*8;Bnd32 decopt=MPX
# bndmk bnd1,dword ptr [edx+esi*8]
F3 0F1B 0C F2, Bndmk_bnd_m32, Legacy, MPX, op0=w op1=nma w=bnd1 r=edx;esi decopt=MPX
# bndmk bnd1,dword ptr [edx+esi*8]
64 F3 0F1B 0C F2, Bndmk_bnd_m32, Legacy, MPX, op0=w op1=nma w=bnd1 r=edx;esi decopt=MPX
# bndcn bnd1,edx
F2 0F1B CA, Bndcn_bnd_rm32, Legacy, MPX, op0=r op1=r r=bnd1 r=edx decopt=MPX
# bndcn bnd1,[edx+esi*8]
F2 0F1B 0C F2, Bndcn_bnd_rm32, Legacy, MPX, op0=r op1=nma r=bnd1 r=edx;esi decopt=MPX
# bndcn bnd1,[edx+esi*8]
64 F2 0F1B 0C F2, Bndcn_bnd_rm32, Legacy, MPX, op0=r op1=nma r=bnd1 r=edx;esi decopt=MPX
# mov esi,cr3
0F20 DE, Mov_r32_cr, Legacy, INTEL386, priv fu=oszacp op0=w op1=r w=esi r=cr3
# mov esi,dr3
0F21 DE, Mov_r32_dr, Legacy, INTEL386, priv fu=oszacp op0=w op1=r w=esi r=dr3
# mov cr3,esi
0F22 DE, Mov_cr_r32, Legacy, INTEL386, priv fu=oszacp op0=w op1=r w=cr3 r=esi
# mov dr3,esi
0F23 DE, Mov_dr_r32, Legacy, INTEL386, priv fu=oszacp op0=w op1=r w=dr3 r=esi
# wrmsr
0F30, Wrmsr, Legacy, MSR, priv r=eax;ecx;edx
# rdtsc
0F31, Rdtsc, Legacy, TSC, w=eax;edx
# rdmsr
0F32, Rdmsr, Legacy, MSR, priv r=ecx w=eax;edx
# rdpmc
0F33, Rdpmc, Legacy, RDPMC, r=ecx w=eax;edx
# cmovo cx,si
66 0F40 CE, Cmovo_r16_rm16, Legacy, CMOV, fr=o op0=cw op1=r cw=cx r=si
# cmovo bx,[eax]
66 0F40 18, Cmovo_r16_rm16, Legacy, CMOV, fr=o op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmovo ecx,esi
0F40 CE, Cmovo_r32_rm32, Legacy, CMOV, fr=o op0=cw op1=r cw=ecx r=esi
# cmovo ebx,[eax]
0F40 18, Cmovo_r32_rm32, Legacy, CMOV, fr=o op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmovno cx,si
66 0F41 CE, Cmovno_r16_rm16, Legacy, CMOV, fr=o op0=cw op1=r cw=cx r=si
# cmovno bx,[eax]
66 0F41 18, Cmovno_r16_rm16, Legacy, CMOV, fr=o op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmovno ecx,esi
0F41 CE, Cmovno_r32_rm32, Legacy, CMOV, fr=o op0=cw op1=r cw=ecx r=esi
# cmovno ebx,[eax]
0F41 18, Cmovno_r32_rm32, Legacy, CMOV, fr=o op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmovb cx,si
66 0F42 CE, Cmovb_r16_rm16, Legacy, CMOV, fr=c op0=cw op1=r cw=cx r=si
# cmovb bx,[eax]
66 0F42 18, Cmovb_r16_rm16, Legacy, CMOV, fr=c op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmovb ecx,esi
0F42 CE, Cmovb_r32_rm32, Legacy, CMOV, fr=c op0=cw op1=r cw=ecx r=esi
# cmovb ebx,[eax]
0F42 18, Cmovb_r32_rm32, Legacy, CMOV, fr=c op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmovae cx,si
66 0F43 CE, Cmovae_r16_rm16, Legacy, CMOV, fr=c op0=cw op1=r cw=cx r=si
# cmovae bx,[eax]
66 0F43 18, Cmovae_r16_rm16, Legacy, CMOV, fr=c op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmovae ecx,esi
0F43 CE, Cmovae_r32_rm32, Legacy, CMOV, fr=c op0=cw op1=r cw=ecx r=esi
# cmovae ebx,[eax]
0F43 18, Cmovae_r32_rm32, Legacy, CMOV, fr=c op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmove cx,si
66 0F44 CE, Cmove_r16_rm16, Legacy, CMOV, fr=z op0=cw op1=r cw=cx r=si
# cmove bx,[eax]
66 0F44 18, Cmove_r16_rm16, Legacy, CMOV, fr=z op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmove ecx,esi
0F44 CE, Cmove_r32_rm32, Legacy, CMOV, fr=z op0=cw op1=r cw=ecx r=esi
# cmove ebx,[eax]
0F44 18, Cmove_r32_rm32, Legacy, CMOV, fr=z op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmovne cx,si
66 0F45 CE, Cmovne_r16_rm16, Legacy, CMOV, fr=z op0=cw op1=r cw=cx r=si
# cmovne bx,[eax]
66 0F45 18, Cmovne_r16_rm16, Legacy, CMOV, fr=z op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmovne ecx,esi
0F45 CE, Cmovne_r32_rm32, Legacy, CMOV, fr=z op0=cw op1=r cw=ecx r=esi
# cmovne ebx,[eax]
0F45 18, Cmovne_r32_rm32, Legacy, CMOV, fr=z op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmovbe cx,si
66 0F46 CE, Cmovbe_r16_rm16, Legacy, CMOV, fr=cz op0=cw op1=r cw=cx r=si
# cmovbe bx,[eax]
66 0F46 18, Cmovbe_r16_rm16, Legacy, CMOV, fr=cz op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmovbe ecx,esi
0F46 CE, Cmovbe_r32_rm32, Legacy, CMOV, fr=cz op0=cw op1=r cw=ecx r=esi
# cmovbe ebx,[eax]
0F46 18, Cmovbe_r32_rm32, Legacy, CMOV, fr=cz op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmova cx,si
66 0F47 CE, Cmova_r16_rm16, Legacy, CMOV, fr=cz op0=cw op1=r cw=cx r=si
# cmova bx,[eax]
66 0F47 18, Cmova_r16_rm16, Legacy, CMOV, fr=cz op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmova ecx,esi
0F47 CE, Cmova_r32_rm32, Legacy, CMOV, fr=cz op0=cw op1=r cw=ecx r=esi
# cmova ebx,[eax]
0F47 18, Cmova_r32_rm32, Legacy, CMOV, fr=cz op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmovs cx,si
66 0F48 CE, Cmovs_r16_rm16, Legacy, CMOV, fr=s op0=cw op1=r cw=cx r=si
# cmovs bx,[eax]
66 0F48 18, Cmovs_r16_rm16, Legacy, CMOV, fr=s op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmovs ecx,esi
0F48 CE, Cmovs_r32_rm32, Legacy, CMOV, fr=s op0=cw op1=r cw=ecx r=esi
# cmovs ebx,[eax]
0F48 18, Cmovs_r32_rm32, Legacy, CMOV, fr=s op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmovns cx,si
66 0F49 CE, Cmovns_r16_rm16, Legacy, CMOV, fr=s op0=cw op1=r cw=cx r=si
# cmovns bx,[eax]
66 0F49 18, Cmovns_r16_rm16, Legacy, CMOV, fr=s op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmovns ecx,esi
0F49 CE, Cmovns_r32_rm32, Legacy, CMOV, fr=s op0=cw op1=r cw=ecx r=esi
# cmovns ebx,[eax]
0F49 18, Cmovns_r32_rm32, Legacy, CMOV, fr=s op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmovp cx,si
66 0F4A CE, Cmovp_r16_rm16, Legacy, CMOV, fr=p op0=cw op1=r cw=cx r=si
# cmovp bx,[eax]
66 0F4A 18, Cmovp_r16_rm16, Legacy, CMOV, fr=p op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmovp ecx,esi
0F4A CE, Cmovp_r32_rm32, Legacy, CMOV, fr=p op0=cw op1=r cw=ecx r=esi
# cmovp ebx,[eax]
0F4A 18, Cmovp_r32_rm32, Legacy, CMOV, fr=p op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmovnp cx,si
66 0F4B CE, Cmovnp_r16_rm16, Legacy, CMOV, fr=p op0=cw op1=r cw=cx r=si
# cmovnp bx,[eax]
66 0F4B 18, Cmovnp_r16_rm16, Legacy, CMOV, fr=p op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmovnp ecx,esi
0F4B CE, Cmovnp_r32_rm32, Legacy, CMOV, fr=p op0=cw op1=r cw=ecx r=esi
# cmovnp ebx,[eax]
0F4B 18, Cmovnp_r32_rm32, Legacy, CMOV, fr=p op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmovl cx,si
66 0F4C CE, Cmovl_r16_rm16, Legacy, CMOV, fr=so op0=cw op1=r cw=cx r=si
# cmovl bx,[eax]
66 0F4C 18, Cmovl_r16_rm16, Legacy, CMOV, fr=so op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmovl ecx,esi
0F4C CE, Cmovl_r32_rm32, Legacy, CMOV, fr=so op0=cw op1=r cw=ecx r=esi
# cmovl ebx,[eax]
0F4C 18, Cmovl_r32_rm32, Legacy, CMOV, fr=so op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmovge cx,si
66 0F4D CE, Cmovge_r16_rm16, Legacy, CMOV, fr=so op0=cw op1=r cw=cx r=si
# cmovge bx,[eax]
66 0F4D 18, Cmovge_r16_rm16, Legacy, CMOV, fr=so op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmovge ecx,esi
0F4D CE, Cmovge_r32_rm32, Legacy, CMOV, fr=so op0=cw op1=r cw=ecx r=esi
# cmovge ebx,[eax]
0F4D 18, Cmovge_r32_rm32, Legacy, CMOV, fr=so op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmovle cx,si
66 0F4E CE, Cmovle_r16_rm16, Legacy, CMOV, fr=soz op0=cw op1=r cw=cx r=si
# cmovle bx,[eax]
66 0F4E 18, Cmovle_r16_rm16, Legacy, CMOV, fr=soz op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmovle ecx,esi
0F4E CE, Cmovle_r32_rm32, Legacy, CMOV, fr=soz op0=cw op1=r cw=ecx r=esi
# cmovle ebx,[eax]
0F4E 18, Cmovle_r32_rm32, Legacy, CMOV, fr=soz op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# cmovg cx,si
66 0F4F CE, Cmovg_r16_rm16, Legacy, CMOV, fr=soz op0=cw op1=r cw=cx r=si
# cmovg bx,[eax]
66 0F4F 18, Cmovg_r16_rm16, Legacy, CMOV, fr=soz op0=cw op1=r cw=bx r=ds r=eax rm=ds:eax;UInt16
# cmovg ecx,esi
0F4F CE, Cmovg_r32_rm32, Legacy, CMOV, fr=soz op0=cw op1=r cw=ecx r=esi
# cmovg ebx,[eax]
0F4F 18, Cmovg_r32_rm32, Legacy, CMOV, fr=soz op0=cw op1=r cw=ebx r=ds r=eax rm=ds:eax;UInt32
# vzeroupper
C5F8 77, VEX_Vzeroupper, VEX, AVX, r=xmm0-xmm7 w=vmm0-vmm7
# vzeroall
C5FC 77, VEX_Vzeroall, VEX, AVX, w=vmm0-vmm7
# vmread esi,ecx
0F78 CE, Vmread_rm32_r32, Legacy, VMX, fw=cz fc=aops priv op0=w op1=r w=esi r=ecx
# vmread dword ptr [eax],ebx
0F78 18, Vmread_rm32_r32, Legacy, VMX, fw=cz fc=aops priv op0=w op1=r r=ds r=eax r=ebx wm=ds:eax;UInt32
# vmwrite ecx,esi
0F79 CE, Vmwrite_r32_rm32, Legacy, VMX, fw=cz fc=aops priv op0=r op1=r r=ecx r=esi
# vmwrite ebx,dword ptr [eax]
0F79 18, Vmwrite_r32_rm32, Legacy, VMX, fw=cz fc=aops priv op0=r op1=r r=ebx r=ds r=eax rm=ds:eax;UInt32
# jo near ptr 0A54Fh
66 0F80 5AA5, Jo_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=o op0=r
# jo near ptr 0B412A550h
0F80 5AA51234, Jo_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=o op0=r
# jno near ptr 0A54Fh
66 0F81 5AA5, Jno_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=o op0=r
# jno near ptr 0B412A550h
0F81 5AA51234, Jno_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=o op0=r
# jb near ptr 0A54Fh
66 0F82 5AA5, Jb_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=c op0=r
# jb near ptr 0B412A550h
0F82 5AA51234, Jb_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=c op0=r
# jae near ptr 0A54Fh
66 0F83 5AA5, Jae_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=c op0=r
# jae near ptr 0B412A550h
0F83 5AA51234, Jae_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=c op0=r
# je near ptr 0A54Fh
66 0F84 5AA5, Je_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=z op0=r
# je near ptr 0B412A550h
0F84 5AA51234, Je_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=z op0=r
# jne near ptr 0A54Fh
66 0F85 5AA5, Jne_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=z op0=r
# jne near ptr 0B412A550h
0F85 5AA51234, Jne_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=z op0=r
# jbe near ptr 0A54Fh
66 0F86 5AA5, Jbe_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=cz op0=r
# jbe near ptr 0B412A550h
0F86 5AA51234, Jbe_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=cz op0=r
# ja near ptr 0A54Fh
66 0F87 5AA5, Ja_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=cz op0=r
# ja near ptr 0B412A550h
0F87 5AA51234, Ja_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=cz op0=r
# js near ptr 0A54Fh
66 0F88 5AA5, Js_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=s op0=r
# js near ptr 0B412A550h
0F88 5AA51234, Js_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=s op0=r
# jns near ptr 0A54Fh
66 0F89 5AA5, Jns_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=s op0=r
# jns near ptr 0B412A550h
0F89 5AA51234, Jns_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=s op0=r
# jp near ptr 0A54Fh
66 0F8A 5AA5, Jp_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=p op0=r
# jp near ptr 0B412A550h
0F8A 5AA51234, Jp_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=p op0=r
# jnp near ptr 0A54Fh
66 0F8B 5AA5, Jnp_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=p op0=r
# jnp near ptr 0B412A550h
0F8B 5AA51234, Jnp_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=p op0=r
# jl near ptr 0A54Fh
66 0F8C 5AA5, Jl_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=so op0=r
# jl near ptr 0B412A550h
0F8C 5AA51234, Jl_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=so op0=r
# jge near ptr 0A54Fh
66 0F8D 5AA5, Jge_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=so op0=r
# jge near ptr 0B412A550h
0F8D 5AA51234, Jge_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=so op0=r
# jle near ptr 0A54Fh
66 0F8E 5AA5, Jle_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=soz op0=r
# jle near ptr 0B412A550h
0F8E 5AA51234, Jle_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=soz op0=r
# jg near ptr 0A54Fh
66 0F8F 5AA5, Jg_rel16, Legacy, INTEL386, flow=ConditionalBranch fr=soz op0=r
# jg near ptr 0B412A550h
0F8F 5AA51234, Jg_rel32_32, Legacy, INTEL386, flow=ConditionalBranch fr=soz op0=r
# pushw fs
66 0FA0, Pushw_FS, Legacy, INTEL386, op0=r r=ss rw=xsp r=fs wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push fs
0FA0, Pushd_FS, Legacy, INTEL386, op0=r r=ss rw=xsp r=fs wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# popw fs
66 0FA1, Popw_FS, Legacy, INTEL386, op0=w r=ss rw=xsp w=fs rm=ss:xsp;UInt16 stack=2
# pop fs
0FA1, Popd_FS, Legacy, INTEL386, op0=w r=ss rw=xsp w=fs rm=ss:xsp;UInt32 stack=4
# cpuid
0FA2, Cpuid, Legacy, CPUID, r=eax cr=ecx w=eax;ecx;edx;ebx
# pushw gs
66 0FA8, Pushw_GS, Legacy, INTEL386, op0=r r=ss rw=xsp r=gs wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push gs
0FA8, Pushd_GS, Legacy, INTEL386, op0=r r=ss rw=xsp r=gs wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# popw gs
66 0FA9, Popw_GS, Legacy, INTEL386, op0=w r=ss rw=xsp w=gs rm=ss:xsp;UInt16 stack=2
# pop gs
0FA9, Popd_GS, Legacy, INTEL386, op0=w r=ss rw=xsp w=gs rm=ss:xsp;UInt32 stack=4
# rdpid edx
F3 0FC7 FA, Rdpid_r32, Legacy, RDPID, op0=w w=edx
# bswap dx
66 0FCA, Bswap_r16, Legacy, INTEL486, op0=rw rw=dx
# bswap edx
0FCA, Bswap_r32, Legacy, INTEL486, op0=rw rw=edx
# invept edx,oword ptr [eax]
66 0F3880 10, Invept_r32_m128, Legacy, VMX;INVEPT, fw=cz fc=aops priv op0=r op1=r r=edx r=ds r=eax rm=ds:eax;UInt128
# invvpid edx,oword ptr [eax]
66 0F3881 10, Invvpid_r32_m128, Legacy, VMX;INVVPID, fw=cz fc=aops priv op0=r op1=r r=edx r=ds r=eax rm=ds:eax;UInt128
# invpcid edx,oword ptr [eax]
66 0F3882 10, Invpcid_r32_m128, Legacy, INVPCID, priv op0=r op1=r r=edx r=ds r=eax rm=ds:eax;UInt128
# cbw
66 98, Cbw, Legacy, INTEL8086, r=al w=ah
# cwde
98, Cwde, Legacy, INTEL386, r=ax w=eax
# cwd
66 99, Cwd, Legacy, INTEL8086, r=ax w=dx
# cdq
99, Cdq, Legacy, INTEL386, r=eax w=edx
# insb
6C, Insb_m8_DX, Legacy, INTEL186, priv fr=d op0=w op1=r r=es rw=edi r=dx wm=es:edi;UInt8
# insw
66 6D, Insw_m16_DX, Legacy, INTEL186, priv fr=d op0=w op1=r r=es rw=edi r=dx wm=es:edi;UInt16
# insd
6D, Insd_m32_DX, Legacy, INTEL386, priv fr=d op0=w op1=r r=es rw=edi r=dx wm=es:edi;UInt32
# outsb
6E, Outsb_DX_m8, Legacy, INTEL186, priv fr=d op0=r op1=r r=dx r=ds rw=esi rm=ds:esi;UInt8
# outsw
66 6F, Outsw_DX_m16, Legacy, INTEL186, priv fr=d op0=r op1=r r=dx r=ds rw=esi rm=ds:esi;UInt16
# outsd
6F, Outsd_DX_m32, Legacy, INTEL386, priv fr=d op0=r op1=r r=dx r=ds rw=esi rm=ds:esi;UInt32
# movsb
A4, Movsb_m8_m8, Legacy, INTEL8086, fr=d op0=w op1=r r=es rw=edi r=ds rw=esi wm=es:edi;UInt8 rm=ds:esi;UInt8
# movsw
66 A5, Movsw_m16_m16, Legacy, INTEL8086, fr=d op0=w op1=r r=es rw=edi r=ds rw=esi wm=es:edi;UInt16 rm=ds:esi;UInt16
# movsd
A5, Movsd_m32_m32, Legacy, INTEL386, fr=d op0=w op1=r r=es rw=edi r=ds rw=esi wm=es:edi;UInt32 rm=ds:esi;UInt32
# cmpsb
A6, Cmpsb_m8_m8, Legacy, INTEL8086, fr=d fw=oszacp op0=r op1=r r=ds rw=esi r=es rw=edi rm=ds:esi;UInt8 rm=es:edi;UInt8
# cmpsw
66 A7, Cmpsw_m16_m16, Legacy, INTEL8086, fr=d fw=oszacp op0=r op1=r r=ds rw=esi r=es rw=edi rm=ds:esi;UInt16 rm=es:edi;UInt16
# cmpsd
A7, Cmpsd_m32_m32, Legacy, INTEL386, fr=d fw=oszacp op0=r op1=r r=ds rw=esi r=es rw=edi rm=ds:esi;UInt32 rm=es:edi;UInt32
# stosb
AA, Stosb_m8_AL, Legacy, INTEL8086, fr=d op0=w op1=r r=es rw=edi r=al wm=es:edi;UInt8
# stosw
66 AB, Stosw_m16_AX, Legacy, INTEL8086, fr=d op0=w op1=r r=es rw=edi r=ax wm=es:edi;UInt16
# stosd
AB, Stosd_m32_EAX, Legacy, INTEL386, fr=d op0=w op1=r r=es rw=edi r=eax wm=es:edi;UInt32
# lodsb
AC, Lodsb_AL_m8, Legacy, INTEL8086, fr=d op0=w op1=r w=al r=ds rw=esi rm=ds:esi;UInt8
# lodsw
